# name                                                 (un)dir    (un)weighted    uni/bi-partite    selfloops    multiedges    nbVertices    nbEdges        density    bindensity    averageDegree                                                      tags             weightTag                                                                                          url
edit_wikibooks_uk                                   undirected      unweighted         bipartite  noselfloops    multiedges          3229      14277    0.00273946    0.000816255         8.84299                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_ur                                   undirected      unweighted         bipartite  noselfloops    multiedges          1584       3164    0.00252366    0.00139423          3.99495                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_uz                                   undirected      unweighted         bipartite  noselfloops    multiedges           500        565    0.00452906    0.00352705          2.26                             Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_vi                                   undirected      unweighted         bipartite  noselfloops    multiedges          9144      32618    0.000780301   0.000316781         7.1343                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_vo                                   undirected      unweighted         bipartite  noselfloops    multiedges           394        499    0.00644528    0.00448199          2.53299                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_wa                                   undirected      unweighted         bipartite  noselfloops    multiedges           171        187    0.0128655     0.00942552          2.18713                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_xh                                   undirected      unweighted         bipartite  noselfloops    multiedges           167        202    0.0145733     0.0102446           2.41916                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_yo                                   undirected      unweighted         bipartite  noselfloops    multiedges           147        193    0.0179853     0.0129531           2.62585                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_za                                   undirected      unweighted         bipartite  noselfloops    multiedges           190        233    0.0129769     0.00941242          2.45263                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_zh                                   undirected      unweighted         bipartite  noselfloops    multiedges         14125      53881    0.000540156   0.000251998         7.62917                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_zh_min_nan                           undirected      unweighted         bipartite  noselfloops    multiedges           520        750    0.00555803    0.0035349           2.88462                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikibooks_zu                                   undirected      unweighted         bipartite  noselfloops    multiedges           271        356    0.00973076    0.0064234           2.62731                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikibooks
edit_wikinews_bg                                    undirected      unweighted         bipartite  noselfloops    multiedges          4457      13336    0.00134297    0.000598377         5.98429                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_bs                                    undirected      unweighted         bipartite  noselfloops    multiedges          4540      18981    0.00184218    0.000974714         8.36167                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_ca                                    undirected      unweighted         bipartite  noselfloops    multiedges         11942     125869    0.00176535    0.000401025        21.0801                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_cs                                    undirected      unweighted         bipartite  noselfloops    multiedges         10943      47698    0.000796704   0.000462525         8.71754                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_el                                    undirected      unweighted         bipartite  noselfloops    multiedges         10982      59782    0.000991464   0.000338908        10.8873                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_eo                                    undirected      unweighted         bipartite  noselfloops    multiedges          6031     125544    0.00690429    0.000607145        41.6329                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_fa                                    undirected      unweighted         bipartite  noselfloops    multiedges         17279     241703    0.0016192     0.000198522        27.9765                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_fi                                    undirected      unweighted         bipartite  noselfloops    multiedges          6866      49470    0.00209907    0.000696297        14.4101                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_he                                    undirected      unweighted         bipartite  noselfloops    multiedges          4946      23441    0.00191684    0.00079099          9.47877                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_hu                                    undirected      unweighted         bipartite  noselfloops    multiedges          5541      27265    0.00177639    0.000687035         9.84118                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_ko                                    undirected      unweighted         bipartite  noselfloops    multiedges          3508      19011    0.00309058    0.0016473          10.8387                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_nl                                    undirected      unweighted         bipartite  noselfloops    multiedges          8000      50296    0.00157195    0.000977966        12.574                            Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_no                                    undirected      unweighted         bipartite  noselfloops    multiedges          4523      16900    0.00165257    0.000869408         7.47292                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_ro                                    undirected      unweighted         bipartite  noselfloops    multiedges          7741      26566    0.000886785   0.000500573         6.86371                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_sd                                    undirected      unweighted         bipartite  noselfloops    multiedges          2208       4069    0.00167       0.00112989          3.68569                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_sq                                    undirected      unweighted         bipartite  noselfloops    multiedges          2511       7745    0.00245771    0.0015822           6.16886                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_sv                                    undirected      unweighted         bipartite  noselfloops    multiedges          9105      34241    0.00082616    0.000388096         7.52136                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_ta                                    undirected      unweighted         bipartite  noselfloops    multiedges         14005      44804    0.00045689    0.000242823         6.39829                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_th                                    undirected      unweighted         bipartite  noselfloops    multiedges          1737       2960    0.00196323    0.00146712          3.40818                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_tr                                    undirected      unweighted         bipartite  noselfloops    multiedges         10072     235204    0.00463753    0.000340099        46.7045                           Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikinews_uk                                    undirected      unweighted         bipartite  noselfloops    multiedges          6964      32800    0.00135285    0.00080016          9.41987                          Informational,Webgraph,Timestamps                  None                                                    http://konect.cc/networks/edit-enwikinews
edit_wikiquote_af                                   undirected      unweighted         bipartite  noselfloops    multiedges          1438       3450    0.00333913    0.00206445          4.79833                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_als                                  undirected      unweighted         bipartite  noselfloops    multiedges           111        124    0.0203112     0.0150696           2.23423                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_am                                   undirected      unweighted         bipartite  noselfloops    multiedges           555        630    0.00409796    0.00308973          2.27027                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ang                                  undirected      unweighted         bipartite  noselfloops    multiedges           625       1303    0.00668205    0.00422051          4.1696                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ast                                  undirected      unweighted         bipartite  noselfloops    multiedges           394        637    0.00822774    0.00492115          3.2335                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_az                                   undirected      unweighted         bipartite  noselfloops    multiedges          5046      42321    0.00332489    0.000793021        16.7741                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_be                                   undirected      unweighted         bipartite  noselfloops    multiedges          1658       4036    0.00293815    0.00175372          4.86852                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_bg                                   undirected      unweighted         bipartite  noselfloops    multiedges         11633      66820    0.000987621   0.000434364        11.488                            Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_bm                                   undirected      unweighted         bipartite  noselfloops    multiedges            84         77    0.0220884     0.018646            1.83333                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_br                                   undirected      unweighted         bipartite  noselfloops    multiedges           906       2625    0.00640299    0.00351249          5.7947                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_bs                                   undirected      unweighted         bipartite  noselfloops    multiedges          8557      48896    0.00133571    0.00064701         11.4283                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ca                                   undirected      unweighted         bipartite  noselfloops    multiedges         10263      84728    0.00160898    0.000558988        16.5114                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_co                                   undirected      unweighted         bipartite  noselfloops    multiedges           270        315    0.0086741     0.00669145          2.33333                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_cs                                   undirected      unweighted         bipartite  noselfloops    multiedges         12878      64726    0.000780631   0.000525635        10.0522                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_cy                                   undirected      unweighted         bipartite  noselfloops    multiedges          1557       3591    0.00296447    0.00205722          4.61272                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_da                                   undirected      unweighted         bipartite  noselfloops    multiedges          2355       9143    0.00329854    0.00162672          7.76476                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_el                                   undirected      unweighted         bipartite  noselfloops    multiedges          4390      20779    0.00215687    0.00111689          9.46651                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_eo                                   undirected      unweighted         bipartite  noselfloops    multiedges          4262      19798    0.00218035    0.00140085          9.29047                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_et                                   undirected      unweighted         bipartite  noselfloops    multiedges          1822       7681    0.00463009    0.00269692          8.43139                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_eu                                   undirected      unweighted         bipartite  noselfloops    multiedges          1380       5591    0.00587592    0.0027367           8.1029                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_fi                                   undirected      unweighted         bipartite  noselfloops    multiedges          6780      45194    0.0019666     0.00101554         13.3316                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ga                                   undirected      unweighted         bipartite  noselfloops    multiedges           112        157    0.0252574     0.0197876           2.80357                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_gl                                   undirected      unweighted         bipartite  noselfloops    multiedges          3200      14807    0.0028929     0.00149422          9.25437                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_gu                                   undirected      unweighted         bipartite  noselfloops    multiedges          2649      11364    0.00324012    0.00156874          8.57984                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_he                                   undirected      unweighted         bipartite  noselfloops    multiedges         12989      87673    0.00103939    0.000457768        13.4996                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_hi                                   undirected      unweighted         bipartite  noselfloops    multiedges          2838      12426    0.00308667    0.00123084          8.75687                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_hr                                   undirected      unweighted         bipartite  noselfloops    multiedges          3762      17950    0.0025373     0.00119289          9.5428                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_hu                                   undirected      unweighted         bipartite  noselfloops    multiedges          5720      37038    0.00226444    0.000870672        12.9503                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_hy                                   undirected      unweighted         bipartite  noselfloops    multiedges          8674      70203    0.00186637    0.000574136        16.187                            Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_id                                   undirected      unweighted         bipartite  noselfloops    multiedges          4414      11668    0.00119801    0.000782895         5.28681                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_is                                   undirected      unweighted         bipartite  noselfloops    multiedges          1490       5743    0.00517712    0.00251599          7.70872                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ja                                   undirected      unweighted         bipartite  noselfloops    multiedges          5011      20595    0.0016407     0.000812982         8.21992                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ka                                   undirected      unweighted         bipartite  noselfloops    multiedges          4140      23721    0.00276864    0.00109796         11.4594                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_kk                                   undirected      unweighted         bipartite  noselfloops    multiedges           176        200    0.012987      0.00883117          2.27273                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_kn                                   undirected      unweighted         bipartite  noselfloops    multiedges          1126       3075    0.00485494    0.00189619          5.46181                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ko                                   undirected      unweighted         bipartite  noselfloops    multiedges          4197      18841    0.00213973    0.00111001          8.97832                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_kr                                   undirected      unweighted         bipartite  noselfloops    multiedges            39         37    0.0499325     0.0404858           1.89744                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ks                                   undirected      unweighted         bipartite  noselfloops    multiedges            77         70    0.0239234     0.0208476           1.81818                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ku                                   undirected      unweighted         bipartite  noselfloops    multiedges          1333       4929    0.00555206    0.00307622          7.39535                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ky                                   undirected      unweighted         bipartite  noselfloops    multiedges           611        864    0.00463631    0.00298892          2.82815                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_la                                   undirected      unweighted         bipartite  noselfloops    multiedges          1681       5685    0.00402609    0.00186751          6.76383                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_lb                                   undirected      unweighted         bipartite  noselfloops    multiedges           423        667    0.00747314    0.0054452           3.15366                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_li                                   undirected      unweighted         bipartite  noselfloops    multiedges          2869       5040    0.00122504    0.00105392          3.51342                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_lt                                   undirected      unweighted         bipartite  noselfloops    multiedges          6008      54892    0.00304195    0.000977444        18.273                            Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ml                                   undirected      unweighted         bipartite  noselfloops    multiedges          3834      12574    0.00171125    0.000792884         6.55921                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_mr                                   undirected      unweighted         bipartite  noselfloops    multiedges          1041       2250    0.00415651    0.0020487           4.32277                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_nl                                   undirected      unweighted         bipartite  noselfloops    multiedges          6411      49046    0.00238699    0.000774069        15.3006                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_nn                                   undirected      unweighted         bipartite  noselfloops    multiedges          4232      13767    0.00153773    0.000675543         6.50614                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_no                                   undirected      unweighted         bipartite  noselfloops    multiedges          3369      13926    0.00245461    0.0012541           8.26714                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ro                                   undirected      unweighted         bipartite  noselfloops    multiedges          3557      12781    0.00202092    0.00109134          7.18639                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sa                                   undirected      unweighted         bipartite  noselfloops    multiedges          4637      14598    0.00135813    0.000671345         6.29631                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_simple                               undirected      unweighted         bipartite  noselfloops    multiedges          6366      27042    0.00133476    0.000619552         8.49576                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sk                                   undirected      unweighted         bipartite  noselfloops    multiedges          8005      71775    0.00224045    0.000875796        17.9325                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sl                                   undirected      unweighted         bipartite  noselfloops    multiedges          5297      27934    0.00199152    0.00113871         10.5471                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sq                                   undirected      unweighted         bipartite  noselfloops    multiedges          1200       3128    0.00434807    0.0025424           5.21333                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sr                                   undirected      unweighted         bipartite  noselfloops    multiedges          2277       8672    0.00334668    0.00184623          7.61704                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_su                                   undirected      unweighted         bipartite  noselfloops    multiedges          2184       3029    0.00127064    0.000903166         2.77381                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_sv                                   undirected      unweighted         bipartite  noselfloops    multiedges          4205      17517    0.00198181    0.00114449          8.33151                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ta                                   undirected      unweighted         bipartite  noselfloops    multiedges          3097       9857    0.00205604    0.000897968         6.36552                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_te                                   undirected      unweighted         bipartite  noselfloops    multiedges          3795      11174    0.00155214    0.00069203          5.8888                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_th                                   undirected      unweighted         bipartite  noselfloops    multiedges          6970      14858    0.000611768   0.000361923         4.26341                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_tk                                   undirected      unweighted         bipartite  noselfloops    multiedges            93         95    0.0222066     0.0191678           2.04301                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_tr                                   undirected      unweighted         bipartite  noselfloops    multiedges         19818     100424    0.000511411   0.00027412         10.1346                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_tt                                   undirected      unweighted         bipartite  noselfloops    multiedges            93        130    0.030388      0.0240767           2.7957                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ug                                   undirected      unweighted         bipartite  noselfloops    multiedges            93        100    0.0233754     0.0189341           2.15054                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_uk                                   undirected      unweighted         bipartite  noselfloops    multiedges         17478      61669    0.000403774   0.000213545         7.05676                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_ur                                   undirected      unweighted         bipartite  noselfloops    multiedges          2169       3995    0.00169914    0.00104415          3.68373                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_uz                                   undirected      unweighted         bipartite  noselfloops    multiedges           704       1221    0.00493421    0.0032329           3.46875                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_vi                                   undirected      unweighted         bipartite  noselfloops    multiedges          3929      20595    0.00266894    0.000764071        10.4836                           Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_vo                                   undirected      unweighted         bipartite  noselfloops    multiedges           100        139    0.0280808     0.0214141           2.78                             Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_wo                                   undirected      unweighted         bipartite  noselfloops    multiedges           654        841    0.00393854    0.00298317          2.57187                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_zh                                   undirected      unweighted         bipartite  noselfloops    multiedges         11164      41991    0.000673884   0.00035226          7.52257                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wikiquote_zh_min_nan                           undirected      unweighted         bipartite  noselfloops    multiedges           550        938    0.00621295    0.00410664          3.41091                          Informational,Webgraph,Timestamps                  None                                                   http://konect.cc/networks/edit-enwikiquote
edit_wiktionary_aa                                  undirected      unweighted         bipartite  noselfloops    multiedges           139        171    0.0178292     0.0139714           2.46043                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_ab                                  undirected      unweighted         bipartite  noselfloops    multiedges           289        383    0.00920319    0.00663206          2.65052                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_ak                                  undirected      unweighted         bipartite  noselfloops    multiedges           119        100    0.014243      0.0123914           1.68067                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_als                                 undirected      unweighted         bipartite  noselfloops    multiedges          1271       1385    0.00171605    0.00157356          2.17939                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_am                                  undirected      unweighted         bipartite  noselfloops    multiedges          1878      10969    0.00622354    0.00261049         11.6816                           Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_an                                  undirected      unweighted         bipartite  noselfloops    multiedges          6101      25735    0.001383      0.000767141         8.43632                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_ang                                 undirected      unweighted         bipartite  noselfloops    multiedges          4071      45925    0.00554349    0.00214063         22.562                            Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_as                                  undirected      unweighted         bipartite  noselfloops    multiedges           300        310    0.00691193    0.00590858          2.06667                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_av                                  undirected      unweighted         bipartite  noselfloops    multiedges           107        100    0.0176336     0.0151649           1.86916                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_ay                                  undirected      unweighted         bipartite  noselfloops    multiedges          1958       7456    0.00389164    0.00247664          7.61593                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_be                                  undirected      unweighted         bipartite  noselfloops    multiedges          7426      41935    0.00152109    0.000901265        11.2941                           Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bh                                  undirected      unweighted         bipartite  noselfloops    multiedges           268        289    0.00807759    0.00690368          2.15672                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bi                                  undirected      unweighted         bipartite  noselfloops    multiedges           244        245    0.00826418    0.00765702          2.0082                           Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bm                                  undirected      unweighted         bipartite  noselfloops    multiedges           119        179    0.0254949     0.0190856           3.0084                           Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bn                                  undirected      unweighted         bipartite  noselfloops    multiedges         10258      36040    0.000685065   0.000380207         7.02671                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bo                                  undirected      unweighted         bipartite  noselfloops    multiedges           195        204    0.0107851     0.00999207          2.09231                          Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
edit_wiktionary_bs                                  undirected      unweighted         bipartite  noselfloops    multiedges         10882      60663    0.00102465    0.000565997        11.1492                           Informational,Webgraph,Timestamps                  None                                                  http://konect.cc/networks/edit-frwiktionary
