# Name                                                Directed    Weighted    Bipartite    Selfloops    Multiedges    nbVertices    nbEdges    binDensity    matDensity    averageDegree                                                      Tags                                                                                          url    rank    thrank    shrank    erank    elbow    energy    srank    nrank                                                                                                                   Name\href
email_company                                         directed  unweighted   unipartite    selfloops    multiedges           167      82927   0.207394      0.207394               496.6                           Social,Communication,Timestamps                                                     http://konect.cc/networks/radoslaw_email     138        36        42     52.6       13        18      3.9     11.1                                                              \href{http://konect.cc/networks/radoslaw_email}{email_company}
escorts                                             undirected    weighted    bipartite  noselfloops    multiedges         16730      50632   0.000279009   0.000278992              6.1                            Social,PublicHealth,Timestamps                                                 https://doi.org/10.1371/journal.pcbi.1001109    9978      1570      1894   5477.5      630      1543     48.4    368.6                                                                \href{https://doi.org/10.1371/journal.pcbi.1001109}{escorts}
eu_airlines                                         undirected  unweighted   unipartite  noselfloops    multiedges           450       3588   0.0292304     0.0291654               15.9                         Transportation,Airport,Multilayer                                                        https://manliodedomenico.com/data.php     326        69        81    168.3       21        61      2.6     15.4                                                                   \href{https://manliodedomenico.com/data.php}{eu_airlines}
euroroad                                            undirected  unweighted   unipartite  noselfloops  nomultiedges          1174       1417   0.00205794    0.00205619               2.4                                      Transportation,Roads                                                    http://konect.cc/networks/subelj_euroroad    1125         2        18    943.8      136       620    176.2    386.5                                                                  \href{http://konect.cc/networks/subelj_euroroad}{euroroad}
faa_routes                                            directed  unweighted   unipartite    selfloops  nomultiedges          1226       2615   0.00173977    0.00173977               2.1                                    Transportation,Airport                                                         http://konect.cc/networks/maayan-faa     858        51        78    727.2      129       490     63.6    198.8                                                                     \href{http://konect.cc/networks/maayan-faa}{faa_routes}
facebook_friends                                    undirected  unweighted   unipartite  noselfloops  nomultiedges           362       1988   0.030425      0.030341                11                                               Social,Online                                                 https://github.com/benmaier/BFMaierFBnetwork     342        44        59    214.1       26        94      6.7     29.7                                                       \href{https://github.com/benmaier/BFMaierFBnetwork}{facebook_friends}
facebook_organizations_L1                           undirected  unweighted   unipartite  noselfloops    multiedges          5793      45266   0.0018331     0.00183278              15.6                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/    3412       630       747   1935.9      172       677     14.1    124.8                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_L1}
facebook_organizations_L2                           undirected  unweighted   unipartite    selfloops  nomultiedges          5524      94219   0.00617423    0.00617531              34.1                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/    5524       646       877   3558.3      275      1732     30.8    273.8                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_L2}
facebook_organizations_M1                           undirected  unweighted   unipartite  noselfloops    multiedges          1429      32876   0.0189718     0.0189585               46                                               Social,Online                                                       https://homes.cs.washington.edu/~fire/    1428       217       277    858.5       85       386      8.1     67.4                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_M1}
facebook_organizations_M2                           undirected  unweighted   unipartite  noselfloops  nomultiedges          3862      87324   0.0117126     0.0117095               45.2                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/    3862       353       514   2573.8      186      1320     33.8    247.6                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_M2}
facebook_organizations_S1                           undirected  unweighted   unipartite  noselfloops  nomultiedges           320       2369   0.0464146     0.0462695               14.8                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/     320        38        52    206.4       15       102      5.4     27.8                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_S1}
facebook_organizations_S2                           undirected  unweighted   unipartite  noselfloops  nomultiedges           165        726   0.0536585     0.0533333                8.8                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/     155        16        21    102.5       16        54      5.2     19.7                                                    \href{https://homes.cs.washington.edu/~fire/}{facebook_organizations_S2}
fao_trade                                             directed    weighted   unipartite    selfloops    multiedges           214     318346   0.299939      0.299939              1487.6                                 Economic,Trade,Multilayer                                                        https://manliodedomenico.com/data.php     159        59        62     21.5        8         5      2        4.6                                                                     \href{https://manliodedomenico.com/data.php}{fao_trade}
fediverse                                             directed  unweighted   unipartite    selfloops  nomultiedges          4860     484164   0.0204984     0.0204984               99.6                                 Social,Online,Information                             https://gist.github.com/Gargron/48e67b1b14723cd178c951fe7f373a38     806        32        44    483.3       18       122      1.7     16.1                                          \href{https://gist.github.com/Gargron/48e67b1b14723cd178c951fe7f373a38}{fediverse}
financial_institution07-Apr-1999                    undirected    weighted          nan  noselfloops  nomultiedges            31        930   1             0.967742                60                                                    Economic                                                        https://doi.org/10.5061/dryad.5b8n621      31         2         2     23.5        4        16      3.2      7.7                                              \href{https://doi.org/10.5061/dryad.5b8n621}{financial_institution07-Apr-1999}
florentine_families                                 undirected  unweighted   unipartite  noselfloops    multiedges            16         35   0.225         0.210938                 4.4                           Social,Relationships,Multilayer                                                            https://comunelab.fbk.eu/data.php      15         1         3     11.2        6         7      3.2      5.5                                                               \href{https://comunelab.fbk.eu/data.php}{florentine_families}
foldoc                                                directed    weighted   unipartite  noselfloops  nomultiedges         13356     120238   0.000674096   0.000674045              9                                      Informational,Webgraph                                                             http://konect.cc/networks/foldoc   12919      1747      2198   8449.5      511      4244     65.1    636.3                                                                             \href{http://konect.cc/networks/foldoc}{foldoc}
foodweb_baywet                                        directed    weighted   unipartite  noselfloops  nomultiedges           128       2106   0.129552      0.12854                 16.5                                        Biological,Foodweb                                                     http://konect.cc/networks/foodweb-baywet      98        41        41      7.7       11         5      2.7      4.2                                                             \href{http://konect.cc/networks/foodweb-baywet}{foodweb_baywet}
foodweb_little_rock                                   directed  unweighted   unipartite    selfloops  nomultiedges           183       2494   0.0744722     0.0744722               13.6                                        Biological,Foodweb                                                     http://konect.cc/networks/maayan-foodweb      45         8        11     25.9        5        10      2.6      6.6                                                        \href{http://konect.cc/networks/maayan-foodweb}{foodweb_little_rock}
football                                            undirected  unweighted   unipartite  noselfloops  nomultiedges           115        613   0.0935164     0.0927032               10.7                                             Social,Sports                                                  http://www-personal.umich.edu/~mejn/netdata     115        10        11     81.2       13        46     10.5     26                                                                  \href{http://www-personal.umich.edu/~mejn/netdata}{football}
football_tsevans                                    undirected  unweighted   unipartite  noselfloops  nomultiedges           115        613   0.0935164     0.0927032               10.7                                             Social,Sports                  https://figshare.com/articles/American_College_Football_Network_Files/93179     115        10        11     81.2       13        46     10.5     26                          \href{https://figshare.com/articles/American_College_Football_Network_Files/93179}{football_tsevans}
foursquare_NYC_restaurant_checkin                   undirected  unweighted    bipartite  noselfloops    multiedges          4936      27149   0.00110611    0.00110589              11                                               Social,Online                             https://sites.google.com/site/yangdingqi/home/foursquare-dataset    4020       620       784   2091.8      184       662     17.5    136                    \href{https://sites.google.com/site/yangdingqi/home/foursquare-dataset}{foursquare_NYC_restaurant_checkin}
foursquare_NYC_restaurant_tips                      undirected  unweighted    bipartite  noselfloops    multiedges          6410      10377   0.00046113    0.000461058              3.2                                             Social,Online                             https://sites.google.com/site/yangdingqi/home/foursquare-dataset    4980       400       572   3804.5      406      2116     64      430.5                     \href{https://sites.google.com/site/yangdingqi/home/foursquare-dataset}{foursquare_NYC_restaurant_tips}
fresh_webs_AkatoreA                                   directed  unweighted   unipartite  noselfloops  nomultiedges            85        227   0.0317927     0.0314187                2.7                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      35         3         5     24.9        5        13      2.4      6.6                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_AkatoreA}
fresh_webs_AkatoreB                                   directed  unweighted   unipartite  noselfloops  nomultiedges            58        117   0.0353902     0.03478                  2                                          Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      17         1         1     13.6        3         9      2.5      5.2                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_AkatoreB}
fresh_webs_Berwick                                    directed  unweighted   unipartite  noselfloops  nomultiedges            79        240   0.0389484     0.0384554                3                                          Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      32         2         3     22.7        2        13      2.2      6.1                                               \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Berwick}
fresh_webs_Blackrock                                  directed  unweighted   unipartite  noselfloops  nomultiedges            87        375   0.0501203     0.0495442                4.3                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      33         1         1     25.5        2        16      2.3      6.7                                             \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Blackrock}
fresh_webs_Broad                                      directed  unweighted   unipartite    selfloops  nomultiedges            95        565   0.0626039     0.0626039                5.9                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      39         1         2     27.7        1        15      1.8      5.6                                                 \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Broad}
fresh_webs_Canton                                     directed  unweighted   unipartite    selfloops  nomultiedges           110        718   0.0593388     0.0593388                6.5                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      43         2         3     30.7        3        17      2        6.4                                                \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Canton}
fresh_webs_Catlins                                    directed  unweighted   unipartite  noselfloops  nomultiedges            49        110   0.0467687     0.0458142                2.2                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      18         1         2     13.8        4         8      2        4.6                                               \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Catlins}
fresh_webs_Coweeta1                                   directed  unweighted   unipartite  noselfloops  nomultiedges            58        126   0.0381125     0.0374554                2.2                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      20         1         1     16.2        2        10      2.5      5.7                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Coweeta1}
fresh_webs_Coweeta17                                  directed  unweighted   unipartite  noselfloops  nomultiedges            71        148   0.0297787     0.0293593                2.1                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      26         2         2     20.2        3        12      2.4      6.1                                             \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Coweeta17}
fresh_webs_DempstersAu                                directed  unweighted   unipartite    selfloops  nomultiedges            86        415   0.0561114     0.0561114                4.8                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      36         2         2     26.2        3        15      2        5.9                                           \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_DempstersAu}
fresh_webs_DempstersSp                                directed  unweighted   unipartite  noselfloops  nomultiedges            97        538   0.0577749     0.0571793                5.5                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      39         2         4     27.5        4        15      1.9      6                                             \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_DempstersSp}
fresh_webs_DempstersSu                                directed  unweighted   unipartite    selfloops  nomultiedges           107        966   0.0843742     0.0843742                9                                          Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      45         2         3     32.6        3        18      1.9      6.3                                           \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_DempstersSu}
fresh_webs_German                                     directed  unweighted   unipartite    selfloops  nomultiedges            86        353   0.0477285     0.0477285                4.1                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      32         2         3     23.5        4        14      2.3      6.3                                                \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_German}
fresh_webs_Healy                                      directed  unweighted   unipartite  noselfloops  nomultiedges            96        634   0.0695175     0.0687934                6.6                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      40         2         3     28.6        2        16      2        6.2                                                 \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Healy}
fresh_webs_Kyeburn                                    directed  unweighted   unipartite  noselfloops  nomultiedges            98        629   0.0661687     0.0654935                6.4                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      38         1         3     27          3        15      1.9      5.8                                               \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Kyeburn}
fresh_webs_LilKyeburn                                 directed  unweighted   unipartite  noselfloops  nomultiedges            78        375   0.0624376     0.0616371                4.8                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      27         2         3     20.6        3        12      2.2      5.9                                            \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_LilKyeburn}
fresh_webs_Martins                                    directed  unweighted   unipartite  noselfloops  nomultiedges           105        343   0.0314103     0.0311111                3.3                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      41         3         4     31          6        18      3.3      9                                                 \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Martins}
fresh_webs_Narrowdale                                 directed  unweighted   unipartite    selfloops  nomultiedges            71        155   0.0307479     0.0307479                2.2                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      26         2         4     18.6        4        10      2.3      5.6                                            \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Narrowdale}
fresh_webs_NorthCol                                   directed  unweighted   unipartite  noselfloops  nomultiedges            78        241   0.0401265     0.0396121                3.1                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      29         3         4     21.2        6        12      2.6      6.5                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_NorthCol}
fresh_webs_Powder                                     directed  unweighted   unipartite  noselfloops  nomultiedges            78        268   0.044622      0.04405                  3.4                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      35         2         4     24.9        3        13      2.2      6.3                                                \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Powder}
fresh_webs_Stony                                      directed  unweighted   unipartite    selfloops  nomultiedges           113        832   0.0651578     0.0651578                7.4                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      46         2         3     32.3        2        17      1.7      5.8                                                 \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Stony}
fresh_webs_SuttonAu                                   directed  unweighted   unipartite  noselfloops  nomultiedges            83        335   0.0492213     0.0486282                4                                          Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      31         1         1     23.3        1        14      1.9      5.6                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_SuttonAu}
fresh_webs_SuttonSp                                   directed  unweighted   unipartite  noselfloops  nomultiedges            79        391   0.0634534     0.0626502                4.9                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      24         1         1     18.1        1        11      1.7      4.7                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_SuttonSp}
fresh_webs_SuttonSu                                   directed  unweighted   unipartite  noselfloops  nomultiedges            94        424   0.0485015     0.0479855                4.5                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      17         1         1     12.7        1         8      1.5      3.6                                              \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_SuttonSu}
fresh_webs_Troy                                       directed  unweighted   unipartite  noselfloops  nomultiedges            78        181   0.0301365     0.0297502                2.3                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      28         1         2     22.3        2        14      2.9      7.2                                                  \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Troy}
fresh_webs_Venlaw                                     directed  unweighted   unipartite  noselfloops  nomultiedges            69        187   0.0398551     0.0392775                2.7                                        Biological,Foodweb                                           https://iwdb.nceas.ucsb.edu/html/thomps_towns.html      27         1         2     20.8        2        12      2.3      6.1                                                \href{https://iwdb.nceas.ucsb.edu/html/thomps_towns.html}{fresh_webs_Venlaw}
freshmen_t0                                           directed    weighted   unipartite    selfloops  nomultiedges            34       1156   1             1                       34                                     Social,Offline,Temporal                                 http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm      11         1         1      1.9        1         1      1        1.1                                            \href{http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm}{freshmen_t0}
freshmen_t2                                           directed    weighted   unipartite    selfloops  nomultiedges            34       1156   1             1                       34                                     Social,Offline,Temporal                                 http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm      34         1         2     11          1         1      1.1      2.1                                            \href{http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm}{freshmen_t2}
freshmen_t3                                           directed    weighted   unipartite    selfloops  nomultiedges            34       1156   1             1                       34                                     Social,Offline,Temporal                                 http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm      34         1         2     10.4        1         1      1        2                                              \href{http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm}{freshmen_t3}
freshmen_t5                                           directed    weighted   unipartite    selfloops  nomultiedges            34       1156   1             1                       34                                     Social,Offline,Temporal                                 http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm      34         2         2      8.6        2         1      1        1.9                                            \href{http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm}{freshmen_t5}
freshmen_t6                                           directed    weighted   unipartite    selfloops  nomultiedges            34       1156   1             1                       34                                     Social,Offline,Temporal                                 http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm      30         2         2      8.4        2         1      1.1      1.9                                            \href{http://www.stats.ox.ac.uk/~snijders/siena/Zeggelink_data.htm}{freshmen_t6}
fully_connected_layer_cnn_00100                       directed    weighted          nan  noselfloops  nomultiedges           820     118656   0.176682      0.176466               144.7                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     299       124       125      3.1        4         2      1.2      1.7                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00100}
fully_connected_layer_cnn_00200                       directed    weighted          nan  noselfloops  nomultiedges           980     107776   0.112335      0.11222                110                                                     Learned                                                      https://github.com/gabrieleilertsen/nws      10         3         3      2.2        3         1      1.1      1.4                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00200}
fully_connected_layer_cnn_00300                       directed    weighted          nan  noselfloops  nomultiedges           900      52032   0.0643085     0.064237                57.8                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     128        12        16     81.1      124        39      5       16.4                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00300}
fully_connected_layer_cnn_00400                       directed    weighted          nan  noselfloops  nomultiedges          1028     109376   0.1036        0.103499               106.4                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     256        65        77    126.8      129        47      9.3     27.3                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00400}
fully_connected_layer_cnn_00500                       directed    weighted          nan  noselfloops  nomultiedges           892     122976   0.154731      0.154558               137.9                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     380         4         9    336.4       51       237     20.6     78.4                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00500}
fully_connected_layer_cnn_00600                       directed    weighted          nan  noselfloops  nomultiedges          1076     167808   0.145075      0.14494                156                                                     Learned                                                      https://github.com/gabrieleilertsen/nws     308         8        14    273.8      308       199     30.2     85.1                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00600}
fully_connected_layer_cnn_00700                       directed    weighted          nan  noselfloops  nomultiedges          1028     109376   0.1036        0.103499               106.4                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     256        13        22    206        256       135     28.2     69.6                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00700}
fully_connected_layer_cnn_00800                       directed    weighted          nan  noselfloops  nomultiedges           628      35456   0.0900456     0.0899022               56.5                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     116         7        10     92.2      116        60     11.4     29.5                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00800}
fully_connected_layer_cnn_00900                       directed    weighted          nan  noselfloops  nomultiedges           396      19232   0.122951      0.122641                48.6                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     128        40        44      5.9        7         2      1.2      2.1                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_00900}
fully_connected_layer_cnn_01000                       directed    weighted          nan  noselfloops  nomultiedges           820     118656   0.176682      0.176466               144.7                                                   Learned                                                      https://github.com/gabrieleilertsen/nws     308        28        36    221.1       97       117     19.8     56.6                                             \href{https://github.com/gabrieleilertsen/nws}{fully_connected_layer_cnn_01000}
game_thrones                                        undirected    weighted   unipartite  noselfloops  nomultiedges           107        352   0.0620702     0.0614901                6.6                                          Social,Fictional                                   http://www.macalester.edu/~abeverid/data/stormofswords.csv      98        25        28     46         22        18      5       12.6                                             \href{http://www.macalester.edu/~abeverid/data/stormofswords.csv}{game_thrones}
genetic_multiplex_Arabidopsis                         directed  unweighted   unipartite    selfloops    multiedges          6980      18655   0.000369435   0.000369435              2.7  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    2509       277       362   1798.5      127       873     15.3    138.7                                                 \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Arabidopsis}
genetic_multiplex_Bos_Multiplex_Genetic               directed  unweighted   unipartite    selfloops    multiedges           325        322   0.00294438    0.00294438               1    Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php     119         2         5    105.9       15        77     13.3     35.3                                       \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Bos_Multiplex_Genetic}
genetic_multiplex_Candida                             directed  unweighted   unipartite    selfloops    multiedges           367        398   0.00281389    0.00281389               1.1  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php      46         5         7     32.9        8        17      2        6.5                                                     \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Candida}
genetic_multiplex_Celegans                            directed  unweighted   unipartite    selfloops    multiedges          3879       8182   0.000536598   0.000536598              2.1  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    1078       107       142    792.5       73       398     12.1     82                                                      \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Celegans}
genetic_multiplex_DanioRerio                          directed  unweighted   unipartite    selfloops    multiedges           155        188   0.00740895    0.00740895               1.2  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php      74         5         8     63.8       10        46      6.4     18.6                                                  \href{https://manliodedomenico.com/data.php}{genetic_multiplex_DanioRerio}
genetic_multiplex_Drosophila                          directed  unweighted   unipartite    selfloops    multiedges          8215      43367   0.000623001   0.000623001              5.3  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    4877       678       865   3259.7      313      1538     45      322.4                                                  \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Drosophila}
genetic_multiplex_Homo                                directed  unweighted   unipartite    selfloops    multiedges         18222     170899   0.000467132   0.000467132              9.4  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    8436      1492      1794   4746.9      338      1757     14.1    199.8                                                        \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Homo}
genetic_multiplex_HumanHerpes4                        directed  unweighted   unipartite  noselfloops    multiedges           216        259   0.00506029    0.00503687               1.2  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php      25         1         1     18.3        1        10      1.8      4.8                                                \href{https://manliodedomenico.com/data.php}{genetic_multiplex_HumanHerpes4}
genetic_multiplex_Mus                                 directed  unweighted   unipartite    selfloops    multiedges          7747      19843   0.00031415    0.00031415               2.6  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    2552       272       363   1838.4      176       915     18.6    154.6                                                         \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Mus}
genetic_multiplex_Oryctolagus                         directed  unweighted   unipartite    selfloops    multiedges           144        144   0.00670332    0.00670332               1    Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php      26         2         2     20.1        3        12      2        5.4                                                 \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Oryctolagus}
genetic_multiplex_Plasmodium                          directed  unweighted   unipartite    selfloops    multiedges          1203       2522   0.00174197    0.00174197               2.1  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php     575        49        70    455.8       80       265     27.1    100.3                                                  \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Plasmodium}
genetic_multiplex_Rattus                              directed  unweighted   unipartite    selfloops    multiedges          2640       4268   0.000582673   0.000582673              1.6  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php     752        43        67    577.6       43       312      6.1     49.1                                                      \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Rattus}
genetic_multiplex_Sacchcere                           directed  unweighted   unipartite    selfloops    multiedges          6570     282755   0.00602974    0.00602974              43    Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    5116      1010      1210   2866        175      1203     12.1    149.6                                                   \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Sacchcere}
genetic_multiplex_Sacchpomb                           directed  unweighted   unipartite    selfloops    multiedges          4092      63677   0.00368223    0.00368223              15.6  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    1734       318       384   1060.6       89       450      9       80.2                                                   \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Sacchpomb}
genetic_multiplex_Xenopus                             directed  unweighted   unipartite    selfloops    multiedges           461        620   0.00274796    0.00274796               1.3  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php     195         8        14    165.5       30       109     17.1     49                                                       \href{https://manliodedomenico.com/data.php}{genetic_multiplex_Xenopus}
genetic_multiplex_YeastLandscape                      directed  unweighted   unipartite  noselfloops    multiedges          4458    8474000   0.422712      0.422617              1900.8  Biological,Generegulation,Proteininteractions,Multilayer                                                        https://manliodedomenico.com/data.php    4457       679       857   1394.9       54         5      1.4     13.6                                              \href{https://manliodedomenico.com/data.php}{genetic_multiplex_YeastLandscape}
gnutella_04                                           directed  unweighted   unipartite  noselfloops  nomultiedges         10879      39994   0.000337953   0.000337922              3.7                                Technological,Peer-to-peer                                            http://snap.stanford.edu/data/p2p-Gnutella04.html    4860        38        89   4086        213      2640    168.3    779.4                                                       \href{http://snap.stanford.edu/data/p2p-Gnutella04.html}{gnutella_04}
gnutella_06                                           directed  unweighted   unipartite  noselfloops  nomultiedges          8717      31525   0.000414926   0.000414879              3.6                                Technological,Peer-to-peer                                            http://snap.stanford.edu/data/p2p-Gnutella04.html    3680        14        43   3139.1      120      2061     84.4    482.6                                                       \href{http://snap.stanford.edu/data/p2p-Gnutella04.html}{gnutella_06}
gnutella_08                                           directed  unweighted   unipartite  noselfloops  nomultiedges          6301      20777   0.000523399   0.000523316              3.3                                Technological,Peer-to-peer                                            http://snap.stanford.edu/data/p2p-Gnutella04.html    2195        31        48   1896.9       93      1282     36.2    245.1                                                       \href{http://snap.stanford.edu/data/p2p-Gnutella04.html}{gnutella_08}
gnutella_09                                           directed  unweighted   unipartite  noselfloops  nomultiedges          8114      26013   0.000395161   0.000395112              3.2                                Technological,Peer-to-peer                                            http://snap.stanford.edu/data/p2p-Gnutella04.html    2759        33        50   2396.1      104      1629     42.1    297.9                                                       \href{http://snap.stanford.edu/data/p2p-Gnutella04.html}{gnutella_09}
