# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank
kegg_metabolic_dme                                    1372    1262                 116                 148    865.704         81            408       9.00586       68.736
kegg_metabolic_dra                                    1185    1101                  97                 131    756.737         85            367       8.89308       65.0406
kegg_metabolic_ecc                                    1533    1407                 122                 166    956.369         96            444       8.77955       71.2638
kegg_metabolic_ece                                    1604    1469                 119                 164    994.902         94            458       8.59466       71.0902
kegg_metabolic_ecj                                    1635    1489                 116                 160   1009.64          96            468       8.71016       72.1742
kegg_metabolic_eco                                    1641    1495                 116                 159   1013.01          97            469       8.67453       72.0851
kegg_metabolic_ecs                                    1601    1463                 117                 163    991.388         94            457       8.59228       70.9798
kegg_metabolic_fnu                                    1031     946                  87                 115    664.259         79            332       8.89209       61.985
kegg_metabolic_hal                                     808     744                  76                  93    516.851         61            256       8.51158       53.1188
kegg_metabolic_hin                                    1085    1014                  99                 128    697.023         90            337       8.8013        62.6672
kegg_metabolic_hpj                                     849     772                  74                  96    547.084         71            278       8.91109       56.7855
kegg_metabolic_hpy                                     863     780                  74                  96    553.969         74            282       8.89716       57.0929
kegg_metabolic_hsa                                    1917    1732                 167                 215   1157.2           95            502       8.56303       75.3827
kegg_metabolic_lil                                    1234    1130                 110                 138    786.433         85            387       9.90381       70.4346
kegg_metabolic_lin                                     980     918                  92                 119    625.902         82            300       8.66631       59.1559
kegg_metabolic_lla                                     966     892                  94                 118    619.459         84            305       9.3284        61.5251
kegg_metabolic_lmo                                    1004     937                  90                 121    640.435         87            308       8.65622       59.8377
kegg_metabolic_mac                                     938     845                  78                 106    594.668         66            296       8.56437       57.1463
kegg_metabolic_mge                                     358     327                  31                  37    236.015         43            131       9.16415       39.4198
kegg_metabolic_mja                                     796     736                  71                  89    517.271         65            261       8.59334       53.9096
kegg_metabolic_mka                                     754     690                  65                  79    488.36          72            250       8.10189       50.6779
kegg_metabolic_mle                                    1008     944                  83                 104    651.152         78            323       8.79847       60.4776
kegg_metabolic_mlo                                    1654    1499                 121                 167   1017.62          92            470       8.4976        71.4039
kegg_metabolic_mma                                    1008     911                  81                 109    640.711         67            318       8.43144       58.2802
kegg_metabolic_mmu                                    1863    1682                 169                 216   1125.42          87            487       8.53904       74.4437
kegg_metabolic_mpe                                     579     537                  58                  76    380.641         47            198       9.2954        48.9001
kegg_metabolic_mpn                                     375     347                  34                  42    248.746         45            136       9.46394       41.1069
kegg_metabolic_mpu                                     385     353                  33                  45    253.347         37            137       8.91724       40.1704
kegg_metabolic_mtc                                    1443    1340                 108                 144    909.757         91            430       8.85146       69.4348
kegg_metabolic_mth                                     814     749                  72                  92    527.482         58            263       7.9606        52.0717
kegg_metabolic_mtu                                    1509    1397                 108                 148    950.391         92            450       8.71408       70.2092
kegg_metabolic_nma                                    1017     944                  94                 121    649.887         77            313       8.65138       59.7441
kegg_metabolic_nme                                    1020     949                  91                 118    653.666         80            316       8.71341       60.1881
kegg_metabolic_oih                                    1340    1237                 102                 137    849.947         91            409       9.171         69.2177
kegg_metabolic_pab                                     829     748                  64                  81    529.609         63            277       8.82537       55.2156
kegg_metabolic_pae                                    1581    1450                 123                 161    984.8          101            454       8.44191       70.0148
kegg_metabolic_pai                                     958     881                  73                  91    616.933         64            316       8.90422       59.1439
kegg_metabolic_pfu                                     814     735                  69                  81    517.078         72            265       8.64516       53.8621
kegg_metabolic_pho                                     733     662                  57                  69    470.804         63            248       8.47084       51.0491
kegg_metabolic_pmu                                    1167    1091                 107                 141    740.165         93            348       8.55497       62.6489
kegg_metabolic_rco                                     785     710                  66                  81    504.255         68            266       9.36101       55.2872
kegg_metabolic_rno                                    1646    1483                 140                 183   1006.55          82            449       8.34197       69.9157
kegg_metabolic_rpr                                     754     688                  63                  78    487.6           69            257       9.30364       54.1913
kegg_metabolic_rso                                    1642    1505                 126                 168   1024.6           91            473       8.56157       71.7299
kegg_metabolic_sag                                     875     808                  90                 111    564.511         70            278       8.31558       55.3694
kegg_metabolic_sam                                    1073    1012                 110                 141    685.173         80            323       8.84929       61.7545
kegg_metabolic_san                                     880     812                  91                 112    568.078         70            280       8.32737       55.6051
kegg_metabolic_sau                                    1080    1016                 110                 141    689.051         81            325       8.85563       61.9449
kegg_metabolic_sav                                    1072    1010                 110                 141    683.863         81            322       8.82375       61.5836
kegg_metabolic_sce                                    1378    1265                 117                 158    853.074         75            387       8.53097       65.7914
kegg_metabolic_sco                                    1542    1413                 107                 145    956.015         92            447       8.6794        69.8866
kegg_metabolic_sfl                                    1560    1439                 119                 165    977.368         97            455       8.89639       71.9882
kegg_metabolic_sme                                    1705    1545                 114                 159   1053.12          94            493       8.3268        71.7872
kegg_metabolic_smu                                     911     835                  90                 113    582.272         82            288       9.25362       59.5675
kegg_metabolic_son                                    1417    1306                 117                 151    888.693         87            417       8.65437       68.2554
kegg_metabolic_spg                                     822     761                  83                 106    534.261         68            271       9.03145       56.6208
kegg_metabolic_spm                                     820     759                  82                 107    532.597         70            269       9.00535       56.4392
kegg_metabolic_spn                                     892     829                  94                 117    578.463         67            286       8.56145       57.0826
kegg_metabolic_spo                                    1184    1115                 114                 144    748.031         71            341       8.37747       61.6168
kegg_metabolic_spr                                     910     848                  91                 116    589.582         67            291       8.5583        57.5571
kegg_metabolic_spy                                     825     763                  81                 107    535.928         67            272       9.03421       56.7163
kegg_metabolic_sso                                    1035     949                  81                  98    665.462         88            339       8.61364       60.2057
kegg_metabolic_stm                                    1563    1439                 122                 169    975.911         98            454       8.83042       72.0715
kegg_metabolic_sto                                     973     900                  81                 103    632.467         84            322       8.70843       59.3658
kegg_metabolic_sty                                    1547    1420                 123                 167    965.71          91            450       8.83695       71.7609
kegg_metabolic_syn                                    1264    1157                 110                 142    797.476         88            379       8.76435       65.2797
kegg_metabolic_tac                                     768     701                  62                  76    488.943         76            250       8.50263       52.1107
kegg_metabolic_tel                                    1159    1056                  92                 123    733.735         81            358       8.97273       64.0556
kegg_metabolic_tma                                     914     846                  83                 108    584.345         70            287       9.36147       59.7005
kegg_metabolic_tpa                                     524     487                  48                  63    345.415         41            181       7.71132       42.7309
kegg_metabolic_tte                                     991     914                  89                 115    634.937         72            310       8.61192       59.5049
kegg_metabolic_tvo                                     778     714                  64                  78    496.204         64            252       8.37143       51.7499
kegg_metabolic_uur                                     321     285                  21                  27    208.528         31            121       8.14757       35.0347
kegg_metabolic_vch                                    1422    1313                 114                 155    894.742         95            419       8.72255       68.8355
kegg_metabolic_wbr                                     775     725                  75                  94    495.223         67            240       8.54364       51.912
kegg_metabolic_xac                                    1444    1312                 106                 143    902.457         90            433       8.83961       69.6272
kegg_metabolic_xcc                                    1454    1323                 107                 145    908.703         89            433       8.82112       69.7512
kegg_metabolic_xfa                                    1092    1002                  90                 115    689.843         78            336       9.11047       62.9374
kegg_metabolic_ype                                    1474    1355                 118                 162    922.464        100            431       8.69201       69.7188
kegg_metabolic_ypk                                    1452    1338                 119                 159    913.887         94            429       8.67908       69.3032
kidnappings                                            351      94                   5                   6     76.9023         6             48       6.33265       19.9234
law_firm                                                71      71                   4                   7     45.697          5             23       2.47304        8.64908
lesmis                                                  77      64                  12                  15     28.4457        12             10       2.82186        7.08122
london_transport                                       369     358                  11                  22    287.564         67            184      35.0262        92.8072
macaque_neural                                          47      47                   5                   7     29.3528         3             14       2.34126        6.84874
macaques                                                62      59                   7                   8     35.2209         7             18       2.63169        8.08642
malaria_genes_HVR_1                                    307     307                  45                  58    190.468         26             79       4.25718       22.4435
malaria_genes_HVR_2                                    307     290                  42                  48    182.383         29             56       5.03022       22.8472
malaria_genes_HVR_3                                    307     255                  27                  28    186.511         29            118       4.67377       23.3632
malaria_genes_HVR_4                                    307     282                  48                  56    186.202         35             69       6.99141       28.1635
malaria_genes_HVR_5                                    307     298                  39                  52    197.248         33             95       7.34014       31.9914
malaria_genes_HVR_6                                    307     304                  35                  47    185.047         21             77       4.03171       20.9123
malaria_genes_HVR_7                                    307     306                  69                  79    122.762         17             19       2.3537        10.6744
malaria_genes_HVR_8                                    307     295                  49                  63    160.69          12             46       2.64126       14.046
malaria_genes_HVR_9                                    307     305                  55                  68    158.639         17             47       2.35844       13.3736
malaria_genes_combined                                 307     307                  18                  25    182.031         14             63       1.92298       12.5872
marvel_partnerships                                    350     283                  15                  24    247.563         45            179      30.7105        81.9289
marvel_universe                                      19428    9376                1254                1560   5892.35         522           2268      39.9689       374.049
messal_shale                                           700     421                  46                  63    287.725         32            149       8.53569       42.5077
montreal                                                35      23                   1                   1     17.754          3             12       2.42367        5.84804
moreno_sheep                                            28      27                   4                   5     15.4435         2              8       1.98502        4.70032
mouse_control_rnn                                      669     669                  66                 102    457.391         60            248      20.1378        84.8373
mouse_rnn                                              178     178                  41                  48     63.2182         6              7       1.23043        4.88958
mouse_voxel                                          15314   15313                2221                2741   2169.1          416            116       8.04222       62.1473
netscience                                            1589    1416                 136                 196    973.512        122            532      21.4706       120.725
new_guinea_tribes                                       16      16                   1                   1     11.3923         1              7       1.95578        4.19285
new_zealand_collab                                    1511     678                 139                 153     25.8636        21              4       1.5796         3.75627
non_financial_institution04-Jan-2001                   155     155                  12                  14    102.052         22             52       2.58757       12.2389
november17                                              22      20                   1                   2     14.8859         3              9       2.09279        4.87961
openflights                                           3214    2139                 467                 529    915.421        117            209       5.8275        48.4548
packet_delays                                           10      10                   1                   1      2.1784         1              1       1.00729        1.20561
physician_trust                                        241     211                   9                  17    159.658         23             95      19.0994        50.3619
physics_collab_arXiv                                 14488   13536                2263                2690   7339.69         722           2296      38.8298       390.423
physics_collab_pierreAuger                             514     510                 110                 124    251.9           59             93       9.95291       39.4092
plant_pol_kato                                         772     150                  36                  40     64.2296        14             20       3.7099        11.4901
plant_pol_robertson                                   1884     822                  96                 134    540.061         44            265       9.79023       59.9811
plant_pol_vazquez_All_sites_pooled                     144      29                  10                  10      8.70027        4              4       2.86966        4.18637
plant_pol_vazquez_Arroyo_Goye                          144      20                   8                   8      8.21083        2              3       2.28619        3.55321
plant_pol_vazquez_Cerro_Lopez                          144      18                   4                   4     10.6413         4              4       3.15822        5.015
plant_pol_vazquez_Llao_Llao                            144      20                   8                   8      8.69798        8              6       3.02332        4.62584
plant_pol_vazquez_Mascardi_c                           144      16                   4                   4      9.28365        8              6       3.60968        5.32317
plant_pol_vazquez_Mascardi_nc                          144      16                   6                   6      7.164          4              4       2.41975        3.53163
plant_pol_vazquez_Quetrihue_c                          144      16                   2                   2      9.58499        2              5       2.63583        4.36047
plant_pol_vazquez_Quetrihue_nc                         144      14                   4                   4      4.26707        4              3       2.27268        2.83289
plant_pol_vazquez_Safariland                           144      18                   4                   4      4.34981        4              2       2.12452        2.6396
polblogs                                              1490     784                 167                 199    454.94          28            193       6.03664       41.6879
polbooks                                               105     105                   9                  13     74.2781        12             41       6.19435       18.7584
power                                                 4941    4348                  49                 148   3584.35         351           2278     235.517        860.908
qa_user_mathoverflow_c2a                             13840    5559                1421                1562   1005.9          186            117       3.34407       32.9383
qa_user_mathoverflow_c2q                             16836   11155                2221                2558   3646.83         352            356       6.73558       86.9384
reactome                                              6327    4654                 716                 840   1922.92         162            176       6.87363       63.5611
reality_mining                                          96      96                  22                  26     42.0672        16             16       3.0287         9.19536
residence_hall                                         217     215                  16                  24    152.485         24             85       9.89126       34.309
rhesus_monkey                                           16      16                   2                   3      9.40158        4              5       1.67878        3.41084
sp_high_school_diaries                                 329     115                   6                  10     88.7602        20             55      12.5884        30.7523
sp_high_school_facebook                                329     156                  16                  24     96.1742         9             44       4.76376       17.151
sp_high_school_new_2011                                126     126                  31                  36     62.2345        33             28      10.9653        22.2508
sp_high_school_new_2012                                180     180                  44                  50     90.4007        20             40       5.96884       19.4098
sp_high_school_proximity                               329     327                  67                  81    182.767         67             89      19.5832        51.5219
sp_high_school_survey                                  329     130                   8                  13     97.0632        16             57       8.56316       25.6312
sp_hospital                                             75      75                  21                  24     29.4647        12             11       2.72332        7.18169
sp_hypertext_contacts                                  113     113                  26                  30     49.6961        19             19       3.91728       11.0318
sp_hypertext_intervals                                 113     113                   2                   5     77.0868         2             42       2.00746        9.80821
sp_infectious                                        10972   10922                1531                1948   6672.49         978           3437     202.78        1011.87
sp_kenyan_households                                    47      47                  10                  12     23.8531        10             11       2.60991        6.60189
sp_office                                               92      92                  26                  28     43.0248        14             19       3.99965       10.7041
sp_primary_school_day_1                                236     236                  18                  27    158.402         28             86       9.0516        32.7888
sp_primary_school_day_2                                238     238                  26                  38    150.79          26             77       8.53302       30.4504
student_cooperation                                    185     184                  16                  28    144.765         34             82      23.8953        54.3583
swingers                                                96      38                   3                   3     27.8667         3             16       2.81295        7.69037
terrorists_911                                          62      54                   5                   7     39.8983         9             23       4.04836       11.2938
train_terrorists                                        64      63                   9                  12     37.2342         7             16       2.02257        6.79106
ugandan_village_friendship-1                           203     200                  16                  23    145.291         33             84      15.3434        43.0639
ugandan_village_friendship-10                          207     207                  13                  23    149.938         20             86       9.28776       33.6993
ugandan_village_friendship-11                          250     250                  23                  35    174.229         25             98      13.8805        44.3359
ugandan_village_friendship-12                          229     229                  23                  34    156.193         23             86       8.46247       32.1693
ugandan_village_friendship-13                          183     183                  16                  24    128.542         29             74       9.98793       32.5319
ugandan_village_friendship-14                          124     124                  10                  16     88.9189        16             51       7.82076       23.8087
ugandan_village_friendship-15                          120     116                   8                  13     83.5316        15             49      10.6119        27.2223
ugandan_village_friendship-16                          372     372                  31                  49    264.263         36            150      19.4001        64.8552
ugandan_village_friendship-17                           65      65                   6                   7     44.3522         7             25       3.66264       11.1576
ugandan_village_friendship-2                           182     182                  15                  21    126.234         27             71       8.93927       30.047
ugandan_village_friendship-3                           192     192                  21                  30    131.163         13             72       7.47064       27.9073
ugandan_village_friendship-4                           320     320                  28                  43    224.722         32            126      12.4043        47.3268
ugandan_village_friendship-5                           184     184                  17                  26    129.452         22             72      10.2356        32.6774
ugandan_village_friendship-6                           139     139                  10                  19     98.0753        12             56       7.32796       24.1149
ugandan_village_friendship-7                           121     121                   5                  11     87.9897        12             51       6.57895       21.7041
ugandan_village_friendship-8                           369     369                  25                  45    267.125         48            153      16.5927        60.3415
ugandan_village_friendship-9                           178     178                  18                  27    122.22          16             65       6.43868       24.6307
ugandan_village_health-advice_1                        190     161                  11                  19    117.366         19             67       7.83923       26.8641
ugandan_village_health-advice_10                       205     202                  20                  31    135.676         18             74       6.7934        26.7113
ugandan_village_health-advice_11                       240     187                  18                  28    134.735         22             74       7.82113       28.5626
ugandan_village_health-advice_12                       221     210                  15                  22    149.674         19             85       6.07302       26.4042
ugandan_village_health-advice_13                       173     155                   4                   8    119.516         18             75      10.4499        32.3073
ugandan_village_health-advice_14                       120     118                  12                  15     83.2605        18             47       9.30208       25.1137
ugandan_village_health-advice_15                       117      77                   6                  10     59.023         12             33       6.29719       17.2771
ugandan_village_health-advice_16                       350     310                  22                  32    211.714         16            114       5.59991       28.8044
ugandan_village_health-advice_17                        63      58                   5                   8     41.8219        11             24       5.13831       13.1178
ugandan_village_health-advice_2                        170     134                  11                  16     92.3785        18             50       6.03562       20.3001
ugandan_village_health-advice_3                        185     139                  19                  24     93.6149        20             47       5.89458       20.2819
ugandan_village_health-advice_4                        316     310                  25                  43    218.827         26            123      13.7148        49.1777
ugandan_village_health-advice_5                        168     149                  15                  22    104.051         17             56       6.12171       22.0112
ugandan_village_health-advice_6                        134      95                   7                   9     68.0797        13             38       4.05466       14.1953
ugandan_village_health-advice_7                        121     121                  10                  15     85.1918        17             48       6.0574        20.2367
ugandan_village_health-advice_8                        361     358                  28                  46    249.745         31            141      15.4685        55.7928
ugandan_village_health-advice_9                        173     155                  18                  23    101.401         20             54       5.16789       19.7241
un_migrations                                          232     232                  93                  96     36.4377        19             10       1.85288        5.80796
uni_email                                             1133    1091                 152                 201    708.611        122            365      25.33         117.136
unicodelang                                            868     374                  14                  22    232.972         24            141       7.12693       33.5636
us_agencies_alabama                                   1281     536                 202                 212     30.1556        19              3       1.80202        4.26207
us_agencies_alaska                                     557     264                  98                 102      8.75881       15              2       1.5649         2.72931
us_agencies_arizona                                    382     218                  78                  82     12.6169         9              4       1.87072        3.70971
us_agencies_arkansas                                   561     273                 105                 110     12.5255        14              4       1.6252         3.3835
us_agencies_california                                4292    2254                 858                 901    122.322         87             19       5.80669       17.3347
us_agencies_colorado                                  1095     588                 202                 209      6.99443        9              1       1.04479        1.67351
us_agencies_connecticut                                685     406                 151                 158     31.7654        25              7       1.5901         4.66962
us_agencies_delaware                                   446     230                  86                  88     18.2271         9              3       1.64467        3.774
us_agencies_florida                                   2263     890                 320                 337     27.6439        27              2       1.31779        3.39261
us_agencies_georgia                                   1092     652                 233                 243      9.33838       14              2       1.47255        2.64557
us_agencies_hawaii                                     234      71                  24                  26      4.42375        6              1       1.07731        1.62929
us_agencies_idaho                                     1109     572                 239                 245     31.0737        28              4       1.24543        3.54534
us_agencies_illinois                                  1133     678                 225                 238     12.7058        12              1       1.09185        2.15161
us_agencies_indiana                                   1385     620                 251                 258     33.8647        15              3       1.26762        3.59122
us_agencies_iowa                                       541     300                 105                 112     25.8897        24              8       4.48236        8.49046
us_agencies_kansas                                     675     355                 129                 136     14.6148        11              3       1.72092        3.41012
us_agencies_kentucky                                  1049     520                 200                 208      6.06987        6              1       1.03128        1.59063
us_agencies_louisiana                                  715     272                  97                 102     15.529         16              4       3.16707        5.2376
us_agencies_maine                                      547     330                 130                 131     35.8433        30             10       4.12597        9.21515
us_agencies_maryland                                   564     325                 112                 120     15.7344        14              4       1.95799        4.10034
us_agencies_massachusetts                             1466    1021                 413                 419     52.9772        48              8       3.08523        8.30021
us_agencies_michigan                                  1796     981                 330                 349     25.8264        20              3       2.36821        4.77674
us_agencies_minnesota                                 1527     877                 309                 322      4.68397        8              1       1.0042         1.32178
us_agencies_mississippi                                408     185                  64                  67      8.64551        9              2       1.76239        2.83845
us_agencies_missouri                                  1161     549                 187                 197     20.2731        22              4       1.78021        4.13557
us_agencies_montana                                    243     108                  42                  43      4.28417        6              1       1.04885        1.55081
us_agencies_nebraska                                   550     285                 103                 105     13.9301         8              3       1.52111        3.19237
us_agencies_nevada                                     388     227                  91                  94     21.8497        20              6       2.60914        5.49283
us_agencies_newhampshire                               675     404                 144                 149      3.47818        6              1       1.03541        1.37893
us_agencies_newjersey                                 1606     942                 356                 369     17.1655        18              2       1.8481         3.31521
us_agencies_newmexico                                  411     255                  94                  99      8.5704         8              2       1.19096        2.2449
us_agencies_newyork                                   2452    1454                 486                 510     34.719         30              5       2.07672        5.16008
us_agencies_northcarolina                              974     617                 211                 222     13.9934         5              1       1.03734        1.95209
us_agencies_northdakota                                515     292                 108                 111      9.92673        7              1       1.081          2.02697
us_agencies_ohio                                      1153     680                 214                 228     18.6361        23              3       1.38602        3.15258
us_agencies_oklahoma                                   736     289                 108                 112     12.8281        13              4       1.63528        3.41398
us_agencies_oregon                                     522     312                 117                 123     24.2453        13              5       2.30083        5.29049
us_agencies_pennsylvania                              1317     554                 186                 197      6.50783       12              3       2.30366        3.14105
us_agencies_rhodeisland                                294     186                  68                  70     15.2142        12              5       1.84836        3.97278
us_agencies_southcarolina                             1530     730                 307                 311     15.6964        12              4       1.3802         2.98231
us_agencies_southdakota                                403     193                  70                  71     12.2209        10              3       1.33048        2.80993
us_agencies_tennessee                                  363     189                  67                  69      3.04717        4              1       1.0182         1.31371
us_agencies_texas                                     1079     689                 255                 265      9.38903       10              1       1.0559         1.85082
us_agencies_utah                                      1158     431                 171                 179     20.4676        22              3       1.17753        2.98921
us_agencies_vermont                                    469     237                  97                  99      6.89876       11              2       1.11471        1.87935
us_agencies_virginia                                   560     391                 139                 147     29.4426        35              7       2.2858         5.95094
us_agencies_washington                                 999     617                 227                 237      3.13752        6              1       1.00517        1.24741
us_agencies_westvirginia                               579     247                  79                  86      9.74579        8              1       1.05667        1.94083
us_agencies_wisconsin                                 1371     904                 323                 335     46.3441        22              7       1.63764        5.23502
us_agencies_wyoming                                    318     199                  89                  90      2.00808        2              1       1.00542        1.14549
us_air_traffic                                        2278    1758                 734                 755    194.992         57             21       1.53193        9.18419
us_congress_H100                                       446     446                  21                  35    257.149         15             82       1.70248       13.008
us_congress_H101                                       449     449                  23                  37    251.581         14             70       1.6132        12.1168
us_congress_H102                                       447     447                  23                  37    240.464         16             56       1.54832       11.2363
us_congress_H103                                       446     446                  25                  37    236.481         15             48       1.51976       10.8383
us_congress_H104                                       445     445                  26                  42    231.687         15             42       1.41149        9.86777
us_congress_H105                                       449     449                  30                  47    227.085          7             33       1.35503        9.30173
us_congress_H106                                       442     442                  27                  46    227.038         12             37       1.37631        9.53927
us_congress_H107                                       447     447                  26                  43    230.545         13             39       1.40161        9.75487
us_congress_H108                                       444     444                  32                  49    217.75          14             27       1.333          8.8976
us_congress_H109                                       445     445                  32                  51    217.666         14             26       1.33384        8.87346
us_congress_H110                                       452     452                  34                  52    222.643         10             26       1.3265         8.91597
us_congress_H111                                       451     451                  29                  46    222.826         11             28       1.32689        8.98408
us_congress_H112                                       450     450                  42                  63    192.01          12              6       1.21729        7.15352
us_congress_H113                                       447     447                  38                  58    196.92          10              8       1.23683        7.45258
us_congress_H114                                       446     446                  44                  64    191.961          7              7       1.23436        7.31318
us_congress_H93                                        446     446                  41                  64    281.198         13            135       2.9576        22.2648
us_congress_H94                                        445     445                  36                  57    284.634         14            137       2.80675       21.6214
us_congress_H95                                        444     444                  23                  46    297.112         12            151       2.83158       22.7062
us_congress_H96                                        442     442                  20                  32    260.229         13             85       1.60388       12.5073
us_congress_H97                                        447     447                  20                  31    257.451         14             80       1.67171       12.6718
us_congress_H98                                        444     444                  20                  34    255.748         16             81       1.72057       13.0124
us_congress_H99                                        443     443                  20                  33    251.201         12             76       1.709         12.7321
us_congress_S100                                       101     101                   7                   8     62.4674         8             29       1.93327        8.29878
us_congress_S101                                       101     101                   7                  10     60.2583         5             25       1.7644         7.54296
us_congress_S102                                       102     102                   7                  11     60.5229         6             25       1.78244        7.58796
us_congress_S103                                       101     101                   6                   9     61.248          5             27       1.822          7.78027
us_congress_S104                                       102     102                   5                  10     61.0829         5             26       1.70943        7.3635
us_congress_S105                                       100     100                   6                   9     54.6338         5             19       1.45629        5.98345
us_congress_S106                                       102     102                   6                   9     59.1722         4             23       1.57908        6.74001
us_congress_S107                                       101     101                   5                   8     60.3033         5             26       1.71796        7.36172
us_congress_S108                                       100     100                   4                   8     61.6974         4             28       1.80237        7.75016
us_congress_S109                                       101     101                   6                   9     57.5621         6             22       1.60556        6.69643
us_congress_S110                                       102     102                   6                   9     58.4425         6             23       1.58042        6.70282
us_congress_S111                                       109     109                   6                   9     57.4801         6             18       1.42711        5.94601
us_congress_S112                                       101     101                   9                  15     44.5837         4              6       1.21094        4.30851
us_congress_S113                                       105     105                   9                  15     48.5116         6              7       1.2522         4.67082
us_congress_S114                                       100     100                   7                  11     45.5192         6              6       1.25327        4.5312
us_congress_S93                                        101     101                   5                   6     62.8662         6             29       1.6744         7.49269
us_congress_S94                                        100     100                   6                   8     60.9895         6             27       1.66377        7.29504
us_congress_S95                                        104     104                   5                   6     66.5482         6             32       1.81305        8.21557
us_congress_S96                                        101     101                   4                   7     63.8803         4             30       1.74979        7.8786
us_congress_S97                                        101     101                   6                   7     63.6303         8             31       1.9684         8.5091
us_congress_S98                                        101     101                   5                   8     63.5738         6             30       1.91779        8.39733
us_congress_S99                                        101     101                   4                   7     64.896          4             33       1.93281        8.59564
webkb_webkb_cornell_cocite                             346     344                  72                  84    135.91          17             23       2.15544       10.799
webkb_webkb_cornell_link1                              349     253                  28                  42    171.904         24             87       9.3893        34.4053
webkb_webkb_texas_cocite                               334     334                  66                  76    120.393         21             20       2.60026       11.5089
webkb_webkb_texas_link1                                286     220                  21                  28    155.323         39             82      12.1522        37.4862
webkb_webkb_washington_cocite                          434     434                  95                 109    124.772         24             14       2.45136       10.5188
webkb_webkb_washington_link1                           433     321                  32                  44    206.18          32             96       7.7372        32.3583
webkb_webkb_wisconsin_cocite                           348     348                  78                  91    118.675         15             19       1.7005         8.47476
webkb_webkb_wisconsin_link1                            300     232                  28                  36    164.696         30             85       8.8723        33.229
wiki_rfa                                             11381    3475                 456                 600   2235.74         128            993      10.8849       123.285
wiki_science                                           687     641                  82                 106    383.112         42            159       7.09697       40.0027
wiki_talk_br                                          1181     428                 108                 116     43.8782        23              4       1.81982        4.97826
wiki_talk_cy                                          2233     610                 140                 151    105.346         25              4       1.50836        5.71652
wiki_talk_eo                                          7586    1553                 345                 433    211.047         55             13       3.15353       13.2257
wiki_talk_gl                                          8097    1061                 276                 292    130.631         40              9       2.00087        8.00489
wiki_talk_ht                                           536     197                  25                  25     69.9313         9              3       1.20315        4.46603
wiki_talk_oc                                          3144     452                  81                  88     62.8223        21              5       1.83852        5.64311
wikipedia_link_bcl                                    8130    5815                 634                 775   2240.59         146             64       2.42672       32.2192
wikipedia_link_bh                                    15581    8008                 666                 829   3400.52         140             70       2.61055       40.6086
wikipedia_link_bug                                   14266   13579                  53                  66   1287.56          53             23       9.81557       33.5611
wikipedia_link_cdo                                   14816    9581                1135                1387   4669.99         183            637       4.34132       83.5412
wikipedia_link_co                                     8252    4648                 471                 602   2256.1           97             92       3.89477       44.8632
wikipedia_link_crh                                    8286    4923                 346                 425   2049.19         145             46       9.04645       64.3922
wikipedia_link_csb                                    5561    2509                 240                 335   1236.6           30              5       1.18035       13.3833
wikipedia_link_diq                                   11810    7380                 882                1102   3326.66         176            174       4.96838       65.9453
wikipedia_link_dv                                     4266    2242                 229                 297    887.284         24              2       1.46515       11.4684
wikipedia_link_eml                                   11856    8712                1377                1641   2959.81          89             15       1.21442       15.8286
wikipedia_link_fiu_vro                                6424    3795                 424                 538   1691.81          56             18       1.9208        21.8126
wikipedia_link_fo                                    17649   12042                1707                2100   6675.15         280           1728       4.76966      116.694
wikipedia_link_gag                                    2929    1721                 272                 316    622.581         57             31       2.64579       20.6925
wikipedia_link_gan                                    9189    5971                 617                 827   3015.2          213            456       9.93232      106.802
wikipedia_link_glk                                    7332    5457                 383                 442   1873.72         239            104       4.03852       41.6196
wikipedia_link_gv                                     6862    4814                 623                 777   2372            181            380      10.0349        93.7481
wikipedia_link_hak                                   11487    7548                 765                 985   3107.25         163             49       6.05813       58.0955
wikipedia_link_hif                                    8758    3667                 595                 731   1439.81          66             22       2.35291       23.9596
wikipedia_link_kv                                     6914    4878                 896                1055   2280.8           98            236       3.28652       45.5353
wikipedia_link_lez                                    5171    3753                 602                 712   1479.95         102             68       7.42154       54.0873
wikipedia_link_lo                                     3811    1937                 185                 241    956.421         24              4       1.14565       11.4808
wikipedia_link_map_bms                               14162    6667                 943                1077   2641.03         204            181       4.29663       54.8456
wikipedia_link_mhr                                   14569    7921                 950                1195   4417.33         219            876       7.15464      110.24
wikipedia_link_myv                                    6293    4533                 662                 797   2152.01         134            280       9.21609       82.7732
wikipedia_link_mzn                                   18112   10510                 770                 934   2986.44         169             26       5.20001       40.7739
wikipedia_link_nah                                   10285    6646                 798                 983   3491.29         305            670      13.7422       138.7
wikipedia_link_nap                                   15441   12924                1737                2245   4489.62         224             77       9.92355       91.8772
wikipedia_link_nds_nl                                10453    7592                1043                1297   4369.42         362           1458      22.2573       226.482
wikipedia_link_nso                                    8152    7497                 855                1253   2911            186             92       3.37366       44.9624
wikipedia_link_pam                                    9537    6122                 878                1041   2685.46         252            225       8.75612       88.3465
wikipedia_link_ps                                    12949    6086                 662                 799   2388.04          83             14       1.80363       21.4966
wikipedia_link_roa_tara                              10423    9415                 861                1173   2399.32         194             60      10.6462        67.3534
wikipedia_link_rue                                    7621    5552                 631                 777   2919.68          85            419       2.74338       48.3458
