# Name                                                nbVertices    nbEdges    binDensity    rank    srank    nrank    elbow    energy    thrank    shrank    erank
karate_77                                                     34         77   0.137255         24      3.5      7.2        6        11         3         3     18.6
karate_78                                                     34         78   0.139037         24      3.4      7.2        6        11         3         3     18.4
kegg_metabolic_aae                                           926       2417   0.00546364      854      9.1     59         73       290        85       111    591.1
kegg_metabolic_afu                                           909       2113   0.00497588      820      9.4     60.1       63       309        66        82    586.4
kegg_metabolic_ana                                          1362       3731   0.00387954     1245      8.4     65.6       89       403       113       147    853.6
kegg_metabolic_ape                                           805       1959   0.00582895      726      9.2     55.9       57       271        62        80    515.4
kegg_metabolic_atc                                          1589       4496   0.00345536     1447      8.6     70.9       94       466       119       156    989.4
kegg_metabolic_ath                                          1561       4466   0.00354594     1409      8.8     70.7       94       447       108       146    960.6
kegg_metabolic_atu                                          1593       4504   0.00344433     1451      8.6     71         94       467       119       158    992.2
kegg_metabolic_bas                                           664       1578   0.00698886      618      9.8     54.3       55       231        55        73    436.6
kegg_metabolic_bbu                                           505       1184   0.00902438      465      8.3     44.1       42       183        37        51    335.5
kegg_metabolic_bha                                          1267       3499   0.00423017     1169      9       67.2       79       386       108       141    804.4
kegg_metabolic_bja                                          1746       5078   0.00320956     1583      8.6     73.1       92       492       129       171   1074.7
kegg_metabolic_blo                                           854       2208   0.00587534      795      8.9     56.7       79       270        89       112    553.7
kegg_metabolic_bme                                          1574       4383   0.00342067     1426      8.6     70.8       88       462       119       152    977.4
kegg_metabolic_bms                                          1405       3839   0.00376829     1286      9       69.7       83       427       108       140    887.2
kegg_metabolic_bsu                                          1380       3873   0.00393959     1275      8.8     68.6       85       414       109       148    871.9
kegg_metabolic_buc                                           638       1605   0.00769718      601     10       54         48       222        53        70    419.8
kegg_metabolic_cac                                          1081       2905   0.00480147     1006      8.8     62.6       80       331       107       140    691.5
kegg_metabolic_ccr                                          1421       3814   0.00365326     1297      8.6     68.1       92       432       108       138    896.9
kegg_metabolic_cef                                          1166       3226   0.00457257     1092      8.4     62.3       79       351       106       142    744.5
kegg_metabolic_cel                                          1307       3678   0.00415897     1187      8.9     66.3       87       383       102       135    815.1
kegg_metabolic_cgl                                          1379       3847   0.00389591     1281      8.4     65.7       82       402       117       157    873
kegg_metabolic_cje                                           851       2219   0.00593061      785      8.7     55.8       70       269        77       101    544.6
kegg_metabolic_cmu                                           650       1526   0.0069857       608     10.3     55.1       57       226        63        79    431.6
kegg_metabolic_cpa                                           659       1580   0.00702626      618     10.1     54.9       55       226        64        81    436.4
kegg_metabolic_cpe                                          1068       2834   0.00479989      979      8.9     62.7       85       335        89       116    682.2
kegg_metabolic_cpj                                           660       1584   0.0070325       619     10.1     55         55       227        67        82    437.8
kegg_metabolic_cpn                                           660       1585   0.00702792      619     10.1     55         55       226        64        80    437.2
kegg_metabolic_cte                                          1000       2701   0.00521878      908      8.3     57.5       75       311        72        92    630.8
kegg_metabolic_ctr                                           652       1524   0.00692415      610     10.3     55.4       57       227        63        79    433.5
kegg_metabolic_dme                                          1372       3798   0.00389329     1262      9       68.7       81       408       116       148    865.7
kegg_metabolic_dra                                          1185       3266   0.0045211      1101      8.9     65         85       367        97       131    756.7
kegg_metabolic_ecc                                          1533       4451   0.00364089     1407      8.8     71.3       96       444       122       166    956.4
kegg_metabolic_ece                                          1604       4742   0.00353555     1469      8.6     71.1       94       458       119       164    994.9
kegg_metabolic_ecj                                          1635       4843   0.00347981     1489      8.7     72.2       96       468       116       160   1009.6
kegg_metabolic_eco                                          1641       4872   0.00347297     1495      8.7     72.1       97       469       116       159   1013
kegg_metabolic_ecs                                          1601       4739   0.00354647     1463      8.6     71         94       457       117       163    991.4
kegg_metabolic_fnu                                          1031       2572   0.00468988      946      8.9     62         79       332        87       115    664.3
kegg_metabolic_hal                                           808       2080   0.00615905      744      8.5     53.1       61       256        76        93    516.9
kegg_metabolic_hin                                          1085       2887   0.00472541     1014      8.8     62.7       90       337        99       128    697
kegg_metabolic_hpj                                           849       2076   0.00558165      772      8.9     56.8       71       278        74        96    547.1
kegg_metabolic_hpy                                           863       2100   0.0054665       780      8.9     57.1       74       282        74        96    554
kegg_metabolic_hsa                                          1917       6084   0.0031696      1732      8.6     75.4       95       502       167       215   1157.2
kegg_metabolic_lil                                          1234       3219   0.00410108     1130      9.9     70.4       85       387       110       138    786.4
kegg_metabolic_lin                                           980       2722   0.00549002      918      8.7     59.2       82       300        92       119    625.9
kegg_metabolic_lla                                           966       2528   0.00526912      892      9.3     61.5       84       305        94       118    619.5
kegg_metabolic_lmo                                          1004       2787   0.00535569      937      8.7     59.8       87       308        90       121    640.4
kegg_metabolic_mac                                           938       2313   0.00507504      845      8.6     57.1       66       296        78       106    594.7
kegg_metabolic_mge                                           358        846   0.0128694       327      9.2     39.4       43       131        31        37    236
kegg_metabolic_mja                                           796       1876   0.00570922      736      8.6     53.9       65       261        71        89    517.3
kegg_metabolic_mka                                           754       1748   0.00592689      690      8.1     50.7       72       250        65        79    488.4
kegg_metabolic_mle                                          1008       2670   0.00508715      944      8.8     60.5       78       323        83       104    651.2
kegg_metabolic_mlo                                          1654       4890   0.00345295     1499      8.5     71.4       92       470       121       167   1017.6
kegg_metabolic_mma                                          1008       2480   0.00470566      911      8.4     58.3       67       318        81       109    640.7
kegg_metabolic_mmu                                          1863       5886   0.0032448      1682      8.5     74.4       87       487       169       216   1125.4
kegg_metabolic_mpe                                           579       1348   0.0078554       537      9.3     48.9       47       198        58        76    380.6
kegg_metabolic_mpn                                           375        897   0.0124397       347      9.5     41.1       45       136        34        42    248.7
kegg_metabolic_mpu                                           385        934   0.0122872       353      8.9     40.2       37       137        33        45    253.3
kegg_metabolic_mtc                                          1443       4059   0.00377215     1340      8.9     69.4       91       430       108       144    909.8
kegg_metabolic_mth                                           814       1919   0.00559533      749      8       52.1       58       263        72        92    527.5
kegg_metabolic_mtu                                          1509       4256   0.00362242     1397      8.7     70.2       92       450       108       148    950.4
kegg_metabolic_nma                                          1017       2707   0.00504971      944      8.7     59.7       77       313        94       121    649.9
kegg_metabolic_nme                                          1020       2706   0.00502199      949      8.7     60.2       80       316        91       118    653.7
kegg_metabolic_oih                                          1340       3729   0.00402573     1237      9.2     69.2       91       409       102       137    849.9
kegg_metabolic_pab                                           829       1975   0.00556629      748      8.8     55.2       63       277        64        81    529.6
kegg_metabolic_pae                                          1581       4606   0.00356397     1450      8.4     70        101       454       123       161    984.8
kegg_metabolic_pai                                           958       2389   0.00504832      881      8.9     59.1       64       316        73        91    616.9
kegg_metabolic_pfu                                           814       2025   0.00592695      735      8.6     53.9       72       265        69        81    517.1
kegg_metabolic_pho                                           733       1748   0.00630457      662      8.5     51         63       248        57        69    470.8
kegg_metabolic_pmu                                          1167       3306   0.00467479     1091      8.6     62.6       93       348       107       141    740.2
kegg_metabolic_rco                                           785       1826   0.00576004      710      9.4     55.3       68       266        66        81    504.3
kegg_metabolic_rno                                          1646       4911   0.00348511     1483      8.3     69.9       82       449       140       183   1006.6
kegg_metabolic_rpr                                           754       1751   0.00599364      688      9.3     54.2       69       257        63        78    487.6
kegg_metabolic_rso                                          1642       4720   0.00338127     1505      8.6     71.7       91       473       126       168   1024.6
kegg_metabolic_sag                                           875       2215   0.00560209      808      8.3     55.4       70       278        90       111    564.5
kegg_metabolic_sam                                          1073       3006   0.00505726     1012      8.8     61.8       80       323       110       141    685.2
kegg_metabolic_san                                           880       2230   0.00557734      812      8.3     55.6       70       280        91       112    568.1
kegg_metabolic_sau                                          1080       3009   0.00499709     1016      8.9     61.9       81       325       110       141    689.1
kegg_metabolic_sav                                          1072       3004   0.00506148     1010      8.8     61.6       81       322       110       141    683.9
kegg_metabolic_sce                                          1378       4106   0.0041689      1265      8.5     65.8       75       387       117       158    853.1
kegg_metabolic_sco                                          1542       4472   0.00362795     1413      8.7     69.9       92       447       107       145    956
kegg_metabolic_sfl                                          1560       4544   0.00359237     1439      8.9     72         97       455       119       165    977.4
kegg_metabolic_sme                                          1705       5023   0.00333548     1545      8.3     71.8       94       493       114       159   1053.1
kegg_metabolic_smu                                           911       2348   0.00550773      835      9.3     59.6       82       288        90       113    582.3
kegg_metabolic_son                                          1417       4005   0.0038471      1306      8.7     68.3       87       417       117       151    888.7
kegg_metabolic_spg                                           822       2026   0.00583587      761      9       56.6       68       271        83       106    534.3
kegg_metabolic_spm                                           820       2033   0.00588515      759      9       56.4       70       269        82       107    532.6
kegg_metabolic_spn                                           892       2319   0.00563677      829      8.6     57.1       67       286        94       117    578.5
kegg_metabolic_spo                                          1184       3499   0.00482096     1115      8.4     61.6       71       341       114       144    748
kegg_metabolic_spr                                           910       2374   0.00554637      848      8.6     57.6       67       291        91       116    589.6
kegg_metabolic_spy                                           825       2028   0.00580233      763      9       56.7       67       272        81       107    535.9
kegg_metabolic_sso                                          1035       2576   0.00467424      949      8.6     60.2       88       339        81        98    665.5
kegg_metabolic_stm                                          1563       4588   0.00360969     1439      8.8     72.1       98       454       122       169    975.9
kegg_metabolic_sto                                           973       2365   0.00484329      900      8.7     59.4       84       322        81       103    632.5
kegg_metabolic_sty                                          1547       4444   0.00357197     1420      8.8     71.8       91       450       123       167    965.7
kegg_metabolic_syn                                          1264       3415   0.00414019     1157      8.8     65.3       88       379       110       142    797.5
kegg_metabolic_tac                                           768       1972   0.0064647       701      8.5     52.1       76       250        62        76    488.9
kegg_metabolic_tel                                          1159       3067   0.00442415     1056      9       64.1       81       358        92       123    733.7
kegg_metabolic_tma                                           914       2427   0.00564145      846      9.4     59.7       70       287        83       108    584.3
kegg_metabolic_tpa                                           524       1299   0.00918212      487      7.7     42.7       41       181        48        63    345.4
kegg_metabolic_tte                                           991       2615   0.00515323      914      8.6     59.5       72       310        89       115    634.9
kegg_metabolic_tvo                                           778       2010   0.00642179      714      8.4     51.7       64       252        64        78    496.2
kegg_metabolic_uur                                           321        748   0.0142025       285      8.1     35         31       121        21        27    208.5
kegg_metabolic_vch                                          1422       4051   0.00386458     1313      8.7     68.8       95       419       114       155    894.7
kegg_metabolic_wbr                                           775       2113   0.00681077      725      8.5     51.9       67       240        75        94    495.2
kegg_metabolic_xac                                          1444       4006   0.00371996     1312      8.8     69.6       90       433       106       143    902.5
kegg_metabolic_xcc                                          1454       4056   0.00371342     1323      8.8     69.8       89       433       107       145    908.7
kegg_metabolic_xfa                                          1092       2906   0.00471532     1002      9.1     62.9       78       336        90       115    689.8
kegg_metabolic_ype                                          1474       4204   0.00373203     1355      8.7     69.7      100       431       118       162    922.5
kegg_metabolic_ypk                                          1452       4102   0.00375304     1338      8.7     69.3       94       429       119       159    913.9
kidnappings                                                  351        402   0.00326296       94      6.3     19.9        6        48         5         6     76.9
law_firm                                                      71       2571   0.31224          71      2.5      8.6        5        23         4         7     45.7
lesmis                                                        77        254   0.0868079        64      2.8      7.1       12        10        12        15     28.4
london_transport                                             369        441   0.00633322      358     35       92.8       67       184        11        22    287.6
macaque_neural                                                47        505   0.289547         47      2.3      6.8        3        14         5         7     29.4
macaques                                                      62       1187   0.308793         59      2.6      8.1        7        18         7         8     35.2
malaria_genes_HVR_1                                          307       2812   0.0598667       307      4.3     22.4       26        79        45        58    190.5
malaria_genes_HVR_2                                          307       1446   0.030785        290      5       22.8       29        56        42        48    182.4
malaria_genes_HVR_3                                          307        659   0.0140299       255      4.7     23.4       29       118        27        28    186.5
malaria_genes_HVR_4                                          307       1214   0.0258457       282      7       28.2       35        69        48        56    186.2
malaria_genes_HVR_5                                          307       2684   0.0571416       298      7.3     32         33        95        39        52    197.2
malaria_genes_HVR_6                                          307       3263   0.0694684       304      4       20.9       21        77        35        47    185
malaria_genes_HVR_7                                          307      11688   0.248834        306      2.4     10.7       17        19        69        79    122.8
malaria_genes_HVR_8                                          307       3961   0.0843286       295      2.6     14         12        46        49        63    160.7
malaria_genes_HVR_9                                          307       7579   0.161355        305      2.4     13.4       17        47        55        68    158.6
malaria_genes_combined                                       307      35306   0.466266        307      1.9     12.6       14        63        18        25    182
marvel_partnerships                                          350        346   0.00566517      283     30.7     81.9       45       179        15        24    247.6
marvel_universe                                            19428      95497   0.000506041    9376     40      374        522      2268      1254      1560   5892.4
messal_shale                                                 700       6444   0.0131698       421      8.5     42.5       32       149        46        63    287.7
montreal                                                      35         78   0.131092         23      2.4      5.8        3        12         1         1     17.8
moreno_sheep                                                  28        250   0.318878         27      2        4.7        2         8         4         5     15.4
mouse_control_rnn                                            669     178480   0.398784        669     20.1     84.8       60       248        66       102    457.4
mouse_meso                                                   213       1947   0.0431172       185      3.6     11.8       27        20        64        70     64.4
mouse_rnn                                                    178      28375   0.895562        178      1.2      4.9        6         7        41        48     63.2
mouse_voxel                                                15314  207409000   0.884402      15313      8       62.1      416       116      2221      2741   2169.1
netscience                                                  1589       2742   0.00217332     1416     21.5    120.7      122       532       136       196    973.5
new_guinea_tribes                                             16         58   0.483333         16      2        4.2        1         7         1         1     11.4
new_zealand_collab                                          1511       4273   0.0037456       678      1.6      3.8       21         4       139       153     25.9
non_financial_institution04-Jan-2001                         155      23596   0.988521        155      2.6     12.2       22        52        12        14    102.1
november17                                                    22         66   0.285714         20      2.1      4.9        3         9         1         2     14.9
openflights                                                 3214      66771   0.00357398     2139      5.8     48.5      117       209       467       529    915.4
packet_delays                                                 10       9567   1.11111          10      1        1.2        1         1         1         1      2.2
pdumerilii_desmosomal                                       2807      25028   0.00138416     2415     76.1    281.7      424       644       647       756   1419.6
pdumerilii_neuronal                                         2544      25089   0.00188457     1592     14.3     78.9      177       247       788       870    796.3
physician_trust                                              241       1098   0.0189046       211     19.1     50.4       23        95         9        17    159.7
physics_collab_arXiv                                       14488      59026   0.000335179   13536     38.8    390.4      722      2296      2263      2690   7339.7
physics_collab_pierreAuger                                   514       7153   0.0491653       510     10       39.4       59        93       110       124    251.9
plant_pol_kato                                               772       1206   0.00405234      150      3.7     11.5       14        20        36        40     64.2
plant_pol_robertson                                         1884      15265   0.00860025      822      9.8     60         44       265        96       134    540.1
plant_pol_vazquez_All_sites_pooled                           144        164   0.0159285        29      2.9      4.2        4         4        10        10      8.7
plant_pol_vazquez_Arroyo_Goye                                144         43   0.00417638       20      2.3      3.6        2         3         8         8      8.2
plant_pol_vazquez_Cerro_Lopez                                144         45   0.00437063       18      3.2      5          4         4         4         4     10.6
plant_pol_vazquez_Llao_Llao                                  144         42   0.00407925       20      3        4.6        8         6         8         8      8.7
plant_pol_vazquez_Mascardi_c                                 144         36   0.0034965        16      3.6      5.3        8         6         4         4      9.3
plant_pol_vazquez_Mascardi_nc                                144         51   0.00495338       16      2.4      3.5        4         4         6         6      7.2
plant_pol_vazquez_Quetrihue_c                                144         47   0.00456488       16      2.6      4.4        2         5         2         2      9.6
plant_pol_vazquez_Quetrihue_nc                               144         31   0.00301088       14      2.3      2.8        4         3         4         4      4.3
plant_pol_vazquez_Safariland                                 144         39   0.00378788       18      2.1      2.6        4         2         4         4      4.3
polblogs                                                    1490      19090   0.00857519      784      6       41.7       28       193       167       199    454.9
polbooks                                                     105        441   0.0807692       105      6.2     18.8       12        41         9        13     74.3
power                                                       4941       6594   0.000540303    4348    235.5    860.9      351      2278        49       148   3584.4
qa_user_mathoverflow_c2a                                   13840     195330   0.000423538    5559      3.3     32.9      186       117      1421      1562   1005.9
qa_user_mathoverflow_c2q                                   16836     203639   0.000357505   11155      6.7     86.9      352       356      2221      2558   3646.8
reactome                                                    6327     147547   0.00737049     4654      6.9     63.6      162       176       716       840   1922.9
reality_mining                                                96    1086400   0.556798         96      3        9.2       16        16        22        26     42.1
residence_hall                                               217       2672   0.0567436       215      9.9     34.3       24        85        16        24    152.5
rhesus_monkey                                                 16        111   0.433594         16      1.7      3.4        4         5         2         3      9.4
sp_high_school_diaries                                       329        502   0.0046378       115     12.6     30.8       20        55         6        10     88.8
sp_high_school_facebook                                      329       1437   0.0266328       156      4.8     17.2        9        44        16        24     96.2
sp_high_school_new_2011                                      126      28561   0.213723        126     11       22.3       33        28        31        36     62.2
sp_high_school_new_2012                                      180      45047   0.137803        180      6       19.4       20        40        44        50     90.4
sp_high_school_proximity                                     329     188508   0.107829        327     19.6     51.5       67        89        67        81    182.8
sp_high_school_survey                                        329        668   0.00617141      130      8.6     25.6       16        57         8        13     97.1
sp_hospital                                                   75      32424   0.41045          75      2.7      7.2       12        11        21        24     29.5
sp_hypertext_contacts                                        113      20818   0.347029        113      3.9     11         19        19        26        30     49.7
sp_hypertext_intervals                                       113       2196   0.347029        113      2        9.8        2        42         2         5     77.1
sp_infectious                                              10972     415912   0.000739646   10922    202.8   1011.9      978      3437      1531      1948   6672.5
sp_kenyan_households                                          47      32643   0.448582         47      2.6      6.6       10        11        10        12     23.9
sp_office                                                     92       9827   0.180363         92      4       10.7       14        19        26        28     43
sp_primary_school_day_1                                      236       5899   0.21273         236      9.1     32.8       28        86        18        27    158.4
sp_primary_school_day_2                                      238       5539   0.196398        238      8.5     30.5       26        77        26        38    150.8
student_cooperation                                          185        360   0.0182726       184     23.9     54.4       34        82        16        28    144.8
swingers                                                      96        232   0.0251736        38      2.8      7.7        3        16         3         3     27.9
terrorists_911                                                62        152   0.0803808        54      4       11.3        9        23         5         7     39.9
train_terrorists                                              64        243   0.120536         63      2        6.8        7        16         9        12     37.2
ugandan_village_friendship-1                                 203        600   0.0274317       200     15.3     43.1       33        84        16        23    145.3
ugandan_village_friendship-10                                207       1180   0.0513285       207      9.3     33.7       20        86        13        23    149.9
ugandan_village_friendship-11                                250       1183   0.0342629       250     13.9     44.3       25        98        23        35    174.2
ugandan_village_friendship-12                                229        962   0.0336055       229      8.5     32.2       23        86        23        34    156.2
ugandan_village_friendship-13                                183        873   0.0483488       183     10       32.5       29        74        16        24    128.5
ugandan_village_friendship-14                                124        603   0.0694194       124      7.8     23.8       16        51        10        16     88.9
ugandan_village_friendship-15                                120        295   0.0384298       116     10.6     27.2       15        49         8        13     83.5
ugandan_village_friendship-16                                372       1475   0.0198766       372     19.4     64.9       36       150        31        49    264.3
ugandan_village_friendship-17                                 65        300   0.120746         65      3.7     11.2        7        25         6         7     44.4
ugandan_village_friendship-2                                 182        775   0.0424548       182      8.9     30         27        71        15        21    126.2
ugandan_village_friendship-3                                 192       1181   0.0580743       192      7.5     27.9       13        72        21        30    131.2
ugandan_village_friendship-4                                 320       2302   0.0411799       320     12.4     47.3       32       126        28        43    224.7
ugandan_village_friendship-5                                 184        822   0.0427732       184     10.2     32.7       22        72        17        26    129.5
ugandan_village_friendship-6                                 139        709   0.065776        139      7.3     24.1       12        56        10        19     98.1
ugandan_village_friendship-7                                 121        929   0.106761        121      6.6     21.7       12        51         5        11     88
ugandan_village_friendship-8                                 369       1902   0.0260895       369     16.6     60.3       48       153        25        45    267.1
ugandan_village_friendship-9                                 178       1248   0.0677924       178      6.4     24.6       16        65        18        27    122.2
ugandan_village_health-advice_1                              190        473   0.0252411       161      7.8     26.9       19        67        11        19    117.4
ugandan_village_health-advice_10                             205        884   0.0397821       202      6.8     26.7       18        74        20        31    135.7
ugandan_village_health-advice_11                             240        588   0.0195712       187      7.8     28.6       22        74        18        28    134.7
ugandan_village_health-advice_12                             221        579   0.0221353       210      6.1     26.4       19        85        15        22    149.7
ugandan_village_health-advice_13                             173        358   0.0229221       155     10.4     32.3       18        75         4         8    119.5
ugandan_village_health-advice_14                             120        365   0.046281        118      9.3     25.1       18        47        12        15     83.3
ugandan_village_health-advice_15                             117        210   0.0291178        77      6.3     17.3       12        33         6        10     59
ugandan_village_health-advice_16                             350        984   0.0148962       310      5.6     28.8       16       114        22        32    211.7
ugandan_village_health-advice_17                              63        159   0.0749008        58      5.1     13.1       11        24         5         8     41.8
ugandan_village_health-advice_2                              170        432   0.028827        134      6       20.3       18        50        11        16     92.4
ugandan_village_health-advice_3                              185        682   0.0376635       139      5.9     20.3       20        47        19        24     93.6
ugandan_village_health-advice_4                              316       1118   0.0214431       310     13.7     49.2       26       123        25        43    218.8
ugandan_village_health-advice_5                              168        423   0.0280361       149      6.1     22         17        56        15        22    104.1
ugandan_village_health-advice_6                              134        322   0.0334992        95      4.1     14.2       13        38         7         9     68.1
ugandan_village_health-advice_7                              121        577   0.0695028       121      6.1     20.2       17        48        10        15     85.2
ugandan_village_health-advice_8                              361       1360   0.0196967       358     15.5     55.8       31       141        28        46    249.7
ugandan_village_health-advice_9                              173        678   0.0428543       155      5.2     19.7       20        54        18        23    101.4
un_migrations                                                232      11228   0.208606        232      1.9      5.8       19        10        93        96     36.4
uni_email                                                   1133      10903   0.00850099     1091     25.3    117.1      122       365       152       201    708.6
unicodelang                                                  868       1255   0.0033353       374      7.1     33.6       24       141        14        22    233
us_agencies_alabama                                         1281       5479   0.0033389       536      1.8      4.3       19         3       202       212     30.2
us_agencies_alaska                                           557       7584   0.0244449       264      1.6      2.7       15         2        98       102      8.8
us_agencies_arizona                                          382       2750   0.0188454       218      1.9      3.7        9         4        78        82     12.6
us_agencies_arkansas                                         561       2949   0.0093702       273      1.6      3.4       14         4       105       110     12.5
us_agencies_california                                      4292      50898   0.002763       2254      5.8     17.3       87        19       858       901    122.3
us_agencies_colorado                                        1095       9271   0.00773212      588      1        1.7        9         1       202       209      7
us_agencies_connecticut                                      685       3201   0.00682189      406      1.6      4.7       25         7       151       158     31.8
us_agencies_delaware                                         446       4920   0.0247341       230      1.6      3.8        9         3        86        88     18.2
us_agencies_florida                                         2263      29815   0.00582191      890      1.3      3.4       27         2       320       337     27.6
us_agencies_georgia                                         1092       7881   0.006609        652      1.5      2.6       14         2       233       243      9.3
us_agencies_hawaii                                           234        637   0.0116334        71      1.1      1.6        6         1        24        26      4.4
us_agencies_idaho                                           1109       8916   0.00724948      572      1.2      3.5       28         4       239       245     31.1
us_agencies_illinois                                        1133       8161   0.00635746      678      1.1      2.2       12         1       225       238     12.7
us_agencies_indiana                                         1385       7439   0.00387806      620      1.3      3.6       15         3       251       258     33.9
us_agencies_iowa                                             541       3129   0.0106908       300      4.5      8.5       24         8       105       112     25.9
us_agencies_kansas                                           675       4583   0.0100587       355      1.7      3.4       11         3       129       136     14.6
us_agencies_kentucky                                        1049       7918   0.00719556      520      1        1.6        6         1       200       208      6.1
us_agencies_louisiana                                        715       3201   0.00626143      272      3.2      5.2       16         4        97       102     15.5
us_agencies_maine                                            547       4501   0.015043        330      4.1      9.2       30        10       130       131     35.8
us_agencies_maryland                                         564       4525   0.0142253       325      2        4.1       14         4       112       120     15.7
us_agencies_massachusetts                                   1466      14609   0.00679755     1021      3.1      8.3       48         8       413       419     53
us_agencies_michigan                                        1796      50734   0.0157285       981      2.4      4.8       20         3       330       349     25.8
us_agencies_minnesota                                       1527      13132   0.00563187      877      1        1.3        8         1       309       322      4.7
us_agencies_mississippi                                      408       1896   0.0113899       185      1.8      2.8        9         2        64        67      8.6
us_agencies_missouri                                        1161       9977   0.00740177      549      1.8      4.1       22         4       187       197     20.3
us_agencies_montana                                          243       1175   0.0198987       108      1        1.6        6         1        42        43      4.3
us_agencies_nebraska                                         550       2783   0.0092          285      1.5      3.2        8         3       103       105     13.9
us_agencies_nevada                                           388       4644   0.0308481       227      2.6      5.5       20         6        91        94     21.8
us_agencies_newhampshire                                     675       5050   0.0110837       404      1        1.4        6         1       144       149      3.5
us_agencies_newjersey                                       1606      10470   0.00405934      942      1.8      3.3       18         2       356       369     17.2
us_agencies_newmexico                                        411       2946   0.0174401       255      1.2      2.2        8         2        94        99      8.6
us_agencies_newyork                                         2452      17736   0.00294995     1454      2.1      5.2       30         5       486       510     34.7
us_agencies_northcarolina                                    974       9194   0.0096914       617      1        2          5         1       211       222     14
us_agencies_northdakota                                      515       3607   0.0135998       292      1.1      2          7         1       108       111      9.9
us_agencies_ohio                                            1153       8771   0.00659767      680      1.4      3.2       23         3       214       228     18.6
us_agencies_oklahoma                                         736       4278   0.00789742      289      1.6      3.4       13         4       108       112     12.8
us_agencies_oregon                                           522       3637   0.0133476       312      2.3      5.3       13         5       117       123     24.2
us_agencies_pennsylvania                                    1317       4913   0.00283253      554      2.3      3.1       12         3       186       197      6.5
us_agencies_rhodeisland                                      294       2141   0.0247698       186      1.8      4         12         5        68        70     15.2
us_agencies_southcarolina                                   1530      16399   0.00700543      730      1.4      3         12         4       307       311     15.7
us_agencies_southdakota                                      403       1397   0.00860174      193      1.3      2.8       10         3        70        71     12.2
us_agencies_tennessee                                        363       2128   0.0161495       189      1        1.3        4         1        67        69      3
us_agencies_texas                                           1079      11238   0.00965264      689      1.1      1.9       10         1       255       265      9.4
us_agencies_utah                                            1158       5038   0.003757        431      1.2      3         22         3       171       179     20.5
us_agencies_vermont                                          469       2675   0.0121612       237      1.1      1.9       11         2        97        99      6.9
us_agencies_virginia                                         560       6460   0.0205995       391      2.3      6         35         7       139       147     29.4
us_agencies_washington                                       999      11825   0.0118487       617      1        1.2        6         1       227       237      3.1
us_agencies_westvirginia                                     579       2562   0.00764226      247      1.1      1.9        8         1        79        86      9.7
us_agencies_wisconsin                                       1371      11737   0.00624428      904      1.6      5.2       22         7       323       335     46.3
us_agencies_wyoming                                          318       3020   0.0298643       199      1        1.1        2         1        89        90      2
us_air_traffic                                              2278    6390340   0.0182741      1758      1.5      9.2       57        21       734       755    195
us_congress_H100                                             446      50688   0.510788        446      1.7     13         15        82        21        35    257.1
us_congress_H101                                             449      56231   0.55909         449      1.6     12.1       14        70        23        37    251.6
us_congress_H102                                             447      58067   0.582528        447      1.5     11.2       16        56        23        37    240.5
us_congress_H103                                             446      59092   0.595475        446      1.5     10.8       15        48        25        37    236.5
us_congress_H104                                             445      62154   0.629153        445      1.4      9.9       15        42        26        42    231.7
us_congress_H105                                             449      66701   0.66319         449      1.4      9.3        7        33        30        47    227.1
us_congress_H106                                             442      63652   0.653102        442      1.4      9.5       12        37        27        46    227
us_congress_H107                                             447      63851   0.640553        447      1.4      9.8       13        39        26        43    230.5
us_congress_H108                                             444      66277   0.673917        444      1.3      8.9       14        27        32        49    217.8
us_congress_H109                                             445      66700   0.67517         445      1.3      8.9       14        26        32        51    217.7
us_congress_H110                                             452      70923   0.695828        452      1.3      8.9       10        26        34        52    222.6
us_congress_H111                                             451      70160   0.691402        451      1.3      9         11        28        29        46    222.8
us_congress_H112                                             450      77872   0.770819        450      1.2      7.2       12         6        42        63    192
us_congress_H113                                             447      75771   0.760135        447      1.2      7.5       10         8        38        58    196.9
us_congress_H114                                             446      75180   0.757596        446      1.2      7.3        7         7        44        64    192
us_congress_H93                                              446      18083   0.182224        446      3       22.3       13       135        41        64    281.2
us_congress_H94                                              445      19503   0.197419        445      2.8     21.6       14       137        36        57    284.6
us_congress_H95                                              444      21133   0.214884        444      2.8     22.7       12       151        23        46    297.1
us_congress_H96                                              442      51081   0.524117        442      1.6     12.5       13        85        20        32    260.2
us_congress_H97                                              447      49364   0.49522         447      1.7     12.7       14        80        20        31    257.5
us_congress_H98                                              444      48721   0.495404        444      1.7     13         16        81        20        34    255.7
us_congress_H99                                              443      49764   0.508299        443      1.7     12.7       12        76        20        33    251.2
us_congress_S100                                             101       2143   0.424356        101      1.9      8.3        8        29         7         8     62.5
us_congress_S101                                             101       2445   0.484158        101      1.8      7.5        5        25         7        10     60.3
us_congress_S102                                             102       2479   0.481266        102      1.8      7.6        6        25         7        11     60.5
us_congress_S103                                             101       2257   0.446931        101      1.8      7.8        5        27         6         9     61.2
us_congress_S104                                             102       2324   0.451175        102      1.7      7.4        5        26         5        10     61.1
us_congress_S105                                             100       3002   0.606465        100      1.5      6          5        19         6         9     54.6
us_congress_S106                                             102       2930   0.568822        102      1.6      6.7        4        23         6         9     59.2
us_congress_S107                                             101       2522   0.499406        101      1.7      7.4        5        26         5         8     60.3
us_congress_S108                                             100       2387   0.482222        100      1.8      7.8        4        28         4         8     61.7
